Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
35	1	-81.97936	-91.56972	9.590353	0.006090289	0.001002292	0.1673542	0.01279952	0.0206252	0.0206252	0.0206252	0.0206252	0.0206252	0.0206252	0.0206252	0.0206252	0.0206252	0.0206252	0.0206252	0.0206252	0.0206252	0.0206252	0.0206252	0.0206252	0.0206252	0.0206252	0.0206252	0.0206252	0.0206252	0.01999663	0.167354	0.00609029	0.00100229	0.1744467	0.1182318
36	0	-82.17029	-91.56605	9.395759	0.004915897	0.009277071	0.1926651	0.005367384	0.0412384	0.0412384	0.0412384	0.0412384	0.0412384	0.0412384	0.0412384	0.0412384	0.0412384	0.0412384	0.0412384	0.0412384	0.0412384	0.0412384	0.0412384	0.0412384	0.0412384	0.0412384	0.0412384	0.0412384	0.0412384	0.009902747	0.192665	0.0049159	0.00927707	0.2068581	0.1993559
37	1	-83.3304	-92.44813	9.117731	0.005485751	0.006293452	0.2080022	0.004681823	0.0962801	0.0962801	0.0962801	0.0962801	0.0962801	0.0962801	0.0962801	0.0962801	0.0962801	0.0962801	0.0962801	0.0962801	0.0962801	0.0962801	0.0962801	0.0962801	0.0962801	0.0962801	0.0962801	0.0962801	0.0962801	0.02364402	0.208002	0.00548575	0.00629345	0.2197814	0.4380723
38	0	-82.17604	-91.52135	9.345309	0.008237771	0.007021635	0.1926651	0.00444112	0.0371688	0.0371688	0.0371688	0.0371688	0.0371688	0.0371688	0.0371688	0.0371688	0.0371688	0.0371688	0.0371688	0.0371688	0.0371688	0.0371688	0.0371688	0.0371688	0.0371688	0.0371688	0.0371688	0.0371688	0.0371688	0.01465702	0.192665	0.00823777	0.00702163	0.2079245	0.1787608
39	1	-81.05445	-90.16931	9.114859	0.001015745	0.002103341	0.2236107	0.003148326	0.099324	0.099324	0.099324	0.099324	0.099324	0.099324	0.099324	0.099324	0.099324	0.099324	0.099324	0.099324	0.099324	0.099324	0.099324	0.099324	0.099324	0.099324	0.099324	0.099324	0.099324	0.01753575	0.223611	0.00101574	0.00210334	0.2267298	0.4380723
40	0	-81.05481	-90.20736	9.152545	0.003471317	0.0006189433	0.2161726	0.002650904	0.0859504	0.0859504	0.0859504	0.0859504	0.0859504	0.0859504	0.0859504	0.0859504	0.0859504	0.0859504	0.0859504	0.0859504	0.0859504	0.0859504	0.0859504	0.0859504	0.0859504	0.0859504	0.0859504	0.0859504	0.0859504	0.02164411	0.216173	0.00347132	0.000618943	0.2202629	0.3902175
41	1	-80.89686	-90.61718	9.720323	0.003443454	0.003573535	0.1642498	0.004693237	0.0350435	0.0350435	0.0350435	0.0350435	0.0350435	0.0350435	0.0350435	0.0350435	0.0350435	0.0350435	0.0350435	0.0350435	0.0350435	0.0350435	0.0350435	0.0350435	0.0350435	0.0350435	0.0350435	0.0350435	0.0350435	0.01873464	0.16425	0.00344345	0.00357353	0.1712668	0.2046137
42	0	-80.41859	-89.65928	9.24069	0.009023162	0.0004020883	0.2161726	0.004029451	0.083553	0.083553	0.083553	0.083553	0.083553	0.083553	0.083553	0.083553	0.083553	0.083553	0.083553	0.083553	0.083553	0.083553	0.083553	0.083553	0.083553	0.083553	0.083553	0.083553	0.083553	0.005363121	0.216173	0.00902316	0.000402088	0.2255979	0.3703624
43	1	-81.41268	-90.66872	9.256037	0.009846252	0.003133671	0.2048942	0.004478434	0.0579754	0.0579754	0.0579754	0.0579754	0.0579754	0.0579754	0.0579754	0.0579754	0.0579754	0.0579754	0.0579754	0.0579754	0.0579754	0.0579754	0.0579754	0.0579754	0.0579754	0.0579754	0.0579754	0.0579754	0.0579754	0.0121932	0.204894	0.00984625	0.00313367	0.2178742	0.266096
44	0	-80.13449	-89.70977	9.575286	0.01581152	0.00121246	0.1811238	0.00267247	0.0564037	0.0564037	0.0564037	0.0564037	0.0564037	0.0564037	0.0564037	0.0564037	0.0564037	0.0564037	0.0564037	0.0564037	0.0564037	0.0564037	0.0564037	0.0564037	0.0564037	0.0564037	0.0564037	0.0564037	0.0564037	0.00458457	0.181124	0.0158115	0.00121246	0.1981477	0.2846546
