Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	gamma	speciation_rates[1]	total_speciation	turnover
24	0	-39.51771	-44.88734	5.369629	0.06287359	0.02964993	0.00447924	0.00447924	0.00447924	0.00447924	0.00447924	0.00447924	0.00447924	0.00447924	0.00447924	0.00447924	0.00447924	0.00447924	0.00447924	0.00447924	0.00447924	0.00447924	0.00447924	0.00447924	0.00447924	0.00447924	0.00447924	0.00447924	0.00447924	0.00447924	0.00447924	0.04375069	0.0628736	0.06287359	0.07124207
25	1	-47.36555	-49.23458	1.869026	0.127945	0.05143865	0.0868713	0.0868713	0.0868713	0.0868713	0.0868713	0.0868713	0.0868713	0.0868713	0.0868713	0.0868713	0.0868713	0.0868713	0.0868713	0.0868713	0.0868713	0.0868713	0.0868713	0.0868713	0.0868713	0.0868713	0.0868713	0.0868713	0.0868713	0.0868713	0.0868713	0.1732049	0.127945	0.127945	0.6789739
26	0	-40.71549	-45.91157	5.196084	0.06933941	0.0298258	0.0188713	0.0188713	0.0188713	0.0188713	0.0188713	0.0188713	0.0188713	0.0188713	0.0188713	0.0188713	0.0188713	0.0188713	0.0188713	0.0188713	0.0188713	0.0188713	0.0188713	0.0188713	0.0188713	0.0188713	0.0188713	0.0188713	0.0188713	0.0188713	0.0188713	0.04117384	0.0693394	0.06933941	0.2721577
27	1	-43.55849	-46.44266	2.884165	0.121398	0.07885673	0.0585848	0.0585848	0.0585848	0.0585848	0.0585848	0.0585848	0.0585848	0.0585848	0.0585848	0.0585848	0.0585848	0.0585848	0.0585848	0.0585848	0.0585848	0.0585848	0.0585848	0.0585848	0.0585848	0.0585848	0.0585848	0.0585848	0.0585848	0.0585848	0.0585848	0.06427652	0.121398	0.121398	0.4825849
28	0	-41.66953	-45.43182	3.762296	0.09483025	0.1206871	0.020752	0.020752	0.020752	0.020752	0.020752	0.020752	0.020752	0.020752	0.020752	0.020752	0.020752	0.020752	0.020752	0.020752	0.020752	0.020752	0.020752	0.020752	0.020752	0.020752	0.020752	0.020752	0.020752	0.020752	0.020752	0.01580729	0.0948302	0.09483025	0.2188331
29	1	-40.91572	-45.07343	4.157711	0.09220313	0.05272012	0.0251328	0.0251328	0.0251328	0.0251328	0.0251328	0.0251328	0.0251328	0.0251328	0.0251328	0.0251328	0.0251328	0.0251328	0.0251328	0.0251328	0.0251328	0.0251328	0.0251328	0.0251328	0.0251328	0.0251328	0.0251328	0.0251328	0.0251328	0.0251328	0.0251328	0.05225972	0.0922031	0.09220313	0.272581
30	0	-39.42306	-44.43677	5.013711	0.06913255	0.06743077	0.00410396	0.00410396	0.00410396	0.00410396	0.00410396	0.00410396	0.00410396	0.00410396	0.00410396	0.00410396	0.00410396	0.00410396	0.00410396	0.00410396	0.00410396	0.00410396	0.00410396	0.00410396	0.00410396	0.00410396	0.00410396	0.00410396	0.00410396	0.00410396	0.00410396	0.0224382	0.0691326	0.06913255	0.05936367
31	1	-40.54568	-45.75738	5.2117	0.05712659	0.05549761	0.00226108	0.00226108	0.00226108	0.00226108	0.00226108	0.00226108	0.00226108	0.00226108	0.00226108	0.00226108	0.00226108	0.00226108	0.00226108	0.00226108	0.00226108	0.00226108	0.00226108	0.00226108	0.00226108	0.00226108	0.00226108	0.00226108	0.00226108	0.00226108	0.00226108	0.05125509	0.0571266	0.05712659	0.03958013
32	0	-39.94168	-44.99241	5.050733	0.06913255	0.01946636	0.00981729	0.00981729	0.00981729	0.00981729	0.00981729	0.00981729	0.00981729	0.00981729	0.00981729	0.00981729	0.00981729	0.00981729	0.00981729	0.00981729	0.00981729	0.00981729	0.00981729	0.00981729	0.00981729	0.00981729	0.00981729	0.00981729	0.00981729	0.00981729	0.00981729	0.06670037	0.0691326	0.06913255	0.1420068
33	1	-39.07168	-44.67345	5.601766	0.06174774	0.01674014	0.00166251	0.00166251	0.00166251	0.00166251	0.00166251	0.00166251	0.00166251	0.00166251	0.00166251	0.00166251	0.00166251	0.00166251	0.00166251	0.00166251	0.00166251	0.00166251	0.00166251	0.00166251	0.00166251	0.00166251	0.00166251	0.00166251	0.00166251	0.00166251	0.00166251	0.0368867	0.0617477	0.06174774	0.02692425
34	0	-39.23912	-44.73303	5.493907	0.06913255	0.01278543	0.00685656	0.00685656	0.00685656	0.00685656	0.00685656	0.00685656	0.00685656	0.00685656	0.00685656	0.00685656	0.00685656	0.00685656	0.00685656	0.00685656	0.00685656	0.00685656	0.00685656	0.00685656	0.00685656	0.00685656	0.00685656	0.00685656	0.00685656	0.00685656	0.00685656	0.02906392	0.0691326	0.06913255	0.09917995
35	1	-39.05034	-44.6759	5.625554	0.06174774	0.01400495	0.00122626	0.00122626	0.00122626	0.00122626	0.00122626	0.00122626	0.00122626	0.00122626	0.00122626	0.00122626	0.00122626	0.00122626	0.00122626	0.00122626	0.00122626	0.00122626	0.00122626	0.00122626	0.00122626	0.00122626	0.00122626	0.00122626	0.00122626	0.00122626	0.00122626	0.03724303	0.0617477	0.06174774	0.01985926
