Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	extinction[26]	extinction[27]	extinction[28]	extinction[29]	extinction[30]	extinction[31]	extinction[32]	extinction[33]	extinction[34]	extinction[35]	extinction[36]	extinction[37]	extinction[38]	extinction[39]	extinction[40]	gamma	speciation_rates[1]	total_speciation	turnover
33	1	-103.3999	-107.3678	3.967948	0.03497403	0.07688021	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.013124	0.04392445	0.034974	0.03497403	0.3752508
34	0	-103.5063	-107.4387	3.932418	0.02885752	0.08533606	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.00590483	0.1128735	0.0288575	0.02885752	0.20462
35	1	-103.7245	-107.0955	3.371047	0.03497403	0.09482648	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.00866821	0.08566827	0.034974	0.03497403	0.2478469
36	0	-103.6096	-106.4024	2.792769	0.0408246	0.1239435	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0209337	0.0437382	0.0408246	0.0408246	0.5127725
37	1	-104.0973	-108.6563	4.558984	0.02283862	0.1418627	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.00253804	0.0663637	0.0228386	0.02283862	0.1111291
38	0	-105.1502	-104.0549	-1.095256	0.06547964	0.1125506	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.0525558	0.146244	0.0654796	0.06547964	0.8026286
39	1	-104.2338	-104.9041	0.6703289	0.04987348	0.1216628	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.0310463	0.1490051	0.0498735	0.04987348	0.6225011
40	0	-106.5637	-102.7821	-3.781632	0.08566313	0.1677799	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.1159532	0.0856631	0.08566313	0.8124679
41	1	-104.3975	-104.9459	0.5484057	0.0505112	0.1525167	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.0299962	0.1226435	0.0505112	0.0505112	0.5938524
42	0	-106.7462	-102.7724	-3.973839	0.08566313	0.1531444	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.0695985	0.1498093	0.0856631	0.08566313	0.8124679
