Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
32	0	-46.55804	-57.88629	11.32825	0.003536198	0.003243721	0.104677	0.002598589	0.000592106	0.000592106	0.000592106	0.000592106	0.000592106	0.000592106	0.000592106	0.000592106	0.000592106	0.000592106	0.000592106	0.000592106	0.000592106	0.000592106	0.000592106	0.000592106	0.000592106	0.000592106	0.000592106	0.000592106	0.000592106	0.001778866	0.104677	0.0035362	0.00324372	0.111457	0.00531242
33	1	-48.44001	-60.2109	11.77089	0.006565244	0.003638987	0.08593094	0.01316111	0.01934	0.01934	0.01934	0.01934	0.01934	0.01934	0.01934	0.01934	0.01934	0.01934	0.01934	0.01934	0.01934	0.01934	0.01934	0.01934	0.01934	0.01934	0.01934	0.01934	0.01934	0.0004706068	0.0859309	0.00656524	0.00363899	0.09613517	0.201175
34	0	-47.78876	-58.50215	10.71339	0.003232439	0.001471701	0.1221926	0.01149084	0.0322041	0.0322041	0.0322041	0.0322041	0.0322041	0.0322041	0.0322041	0.0322041	0.0322041	0.0322041	0.0322041	0.0322041	0.0322041	0.0322041	0.0322041	0.0322041	0.0322041	0.0322041	0.0322041	0.0322041	0.0322041	0.0004423954	0.122193	0.00323244	0.0014717	0.1268968	0.2537822
35	1	-49.62498	-61.43502	11.81004	0.0002170989	0.005928272	0.08593094	0.02351039	0.0067799	0.0067799	0.0067799	0.0067799	0.0067799	0.0067799	0.0067799	0.0067799	0.0067799	0.0067799	0.0067799	0.0067799	0.0067799	0.0067799	0.0067799	0.0067799	0.0067799	0.0067799	0.0067799	0.0067799	0.0067799	0.0003837791	0.0859309	0.000217099	0.00592827	0.09207631	0.07363354
36	0	-49.63005	-60.47192	10.84188	0.007676138	0.0003593546	0.1130769	0.01705461	0.0317965	0.0317965	0.0317965	0.0317965	0.0317965	0.0317965	0.0317965	0.0317965	0.0317965	0.0317965	0.0317965	0.0317965	0.0317965	0.0317965	0.0317965	0.0317965	0.0317965	0.0317965	0.0317965	0.0317965	0.0317965	0.002234302	0.113077	0.00767614	0.000359355	0.1211124	0.2625369
37	1	-51.28181	-61.85791	10.5761	0.008893708	0.004714681	0.116122	0.01535945	0.0183347	0.0183347	0.0183347	0.0183347	0.0183347	0.0183347	0.0183347	0.0183347	0.0183347	0.0183347	0.0183347	0.0183347	0.0183347	0.0183347	0.0183347	0.0183347	0.0183347	0.0183347	0.0183347	0.0183347	0.0183347	0.0004054279	0.116122	0.00889371	0.00471468	0.1297303	0.1413291
38	0	-54.82113	-66.33381	11.51268	0.009682416	0.03994773	0.05113853	0.02088116	0.0228972	0.0228972	0.0228972	0.0228972	0.0228972	0.0228972	0.0228972	0.0228972	0.0228972	0.0228972	0.0228972	0.0228972	0.0228972	0.0228972	0.0228972	0.0228972	0.0228972	0.0228972	0.0228972	0.0228972	0.0228972	0.002387231	0.0511385	0.00968242	0.0399477	0.1007687	0.2272257
39	1	-53.576	-63.17452	9.598516	0.009001583	0.004477464	0.1419331	0.02365934	0.0911207	0.0911207	0.0911207	0.0911207	0.0911207	0.0911207	0.0911207	0.0911207	0.0911207	0.0911207	0.0911207	0.0911207	0.0911207	0.0911207	0.0911207	0.0911207	0.0911207	0.0911207	0.0911207	0.0911207	0.0911207	0.000158373	0.141933	0.00900158	0.00447746	0.1554121	0.5863167
40	0	-58.91743	-69.55126	10.63383	0.002673694	0.0292249	0.0748214	0.08699558	0.0434851	0.0434851	0.0434851	0.0434851	0.0434851	0.0434851	0.0434851	0.0434851	0.0434851	0.0434851	0.0434851	0.0434851	0.0434851	0.0434851	0.0434851	0.0434851	0.0434851	0.0434851	0.0434851	0.0434851	0.0434851	0.003370637	0.0748214	0.00267369	0.0292249	0.10672	0.4074687
41	1	-54.46855	-65.95293	11.48438	0.01208647	0.007413845	0.08234384	0.02206584	0.0509649	0.0509649	0.0509649	0.0509649	0.0509649	0.0509649	0.0509649	0.0509649	0.0509649	0.0509649	0.0509649	0.0509649	0.0509649	0.0509649	0.0509649	0.0509649	0.0509649	0.0509649	0.0509649	0.0509649	0.0509649	0.0002760165	0.0823438	0.0120865	0.00741385	0.1018442	0.5004206
42	0	-56.5472	-67.50737	10.96016	0.0002479478	0.02372969	0.0748214	0.08217046	0.00437455	0.00437455	0.00437455	0.00437455	0.00437455	0.00437455	0.00437455	0.00437455	0.00437455	0.00437455	0.00437455	0.00437455	0.00437455	0.00437455	0.00437455	0.00437455	0.00437455	0.00437455	0.00437455	0.00437455	0.00437455	0.003229634	0.0748214	0.000247948	0.0237297	0.09879904	0.04427722
43	1	-54.33138	-66.53117	12.1998	0.002440274	0.01480134	0.05872257	0.04071445	0.0114197	0.0114197	0.0114197	0.0114197	0.0114197	0.0114197	0.0114197	0.0114197	0.0114197	0.0114197	0.0114197	0.0114197	0.0114197	0.0114197	0.0114197	0.0114197	0.0114197	0.0114197	0.0114197	0.0114197	0.0114197	0.000483212	0.0587226	0.00244027	0.0148013	0.07596418	0.1503303
44	0	-54.63685	-66.65984	12.02298	0.01747142	0.008431287	0.0526336	0.03355067	0.00512045	0.00512045	0.00512045	0.00512045	0.00512045	0.00512045	0.00512045	0.00512045	0.00512045	0.00512045	0.00512045	0.00512045	0.00512045	0.00512045	0.00512045	0.00512045	0.00512045	0.00512045	0.00512045	0.00512045	0.00512045	0.01634428	0.0526336	0.0174714	0.00843129	0.07853631	0.06519848
45	1	-52.45113	-64.54849	12.09736	0.02194294	0.01144518	0.05133368	0.02035596	0.00181705	0.00181705	0.00181705	0.00181705	0.00181705	0.00181705	0.00181705	0.00181705	0.00181705	0.00181705	0.00181705	0.00181705	0.00181705	0.00181705	0.00181705	0.00181705	0.00181705	0.00181705	0.00181705	0.00181705	0.00181705	0.0004956737	0.0513337	0.0219429	0.0114452	0.0847218	0.02144726
