Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
24	0	-148.947	-161.9475	13.00051	0.006600497	0.0007906535	0.05318917	0.01049378	0.00308309	0.00308309	0.00308309	0.00308309	0.00308309	0.00308309	0.00308309	0.00308309	0.00308309	0.00308309	0.00308309	0.00308309	0.00308309	0.00308309	0.00308309	0.00308309	0.00308309	0.00308309	0.00308309	0.00308309	0.00308309	0.01808669	0.0531892	0.0066005	0.000790654	0.06058032	0.05089254
25	1	-151.1653	-162.3049	11.13961	0.01513302	0.005461378	0.07917599	0.03646786	0.0513774	0.0513774	0.0513774	0.0513774	0.0513774	0.0513774	0.0513774	0.0513774	0.0513774	0.0513774	0.0513774	0.0513774	0.0513774	0.0513774	0.0513774	0.0513774	0.0513774	0.0513774	0.0513774	0.0513774	0.0513774	0.008593616	0.079176	0.015133	0.00546138	0.09977039	0.5149565
26	0	-147.2313	-160.2679	13.0366	9.225484e-05	0.007892529	0.05318917	0.01877381	0.00178627	0.00178627	0.00178627	0.00178627	0.00178627	0.00178627	0.00178627	0.00178627	0.00178627	0.00178627	0.00178627	0.00178627	0.00178627	0.00178627	0.00178627	0.00178627	0.00178627	0.00178627	0.00178627	0.00178627	0.00178627	0.00362804	0.0531892	9.22548e-05	0.00789253	0.06117395	0.02919991
27	1	-155.5004	-164.5968	9.096317	0.01309943	0.01410209	0.1125763	0.0654237	0.0882133	0.0882133	0.0882133	0.0882133	0.0882133	0.0882133	0.0882133	0.0882133	0.0882133	0.0882133	0.0882133	0.0882133	0.0882133	0.0882133	0.0882133	0.0882133	0.0882133	0.0882133	0.0882133	0.0882133	0.0882133	0.01082089	0.112576	0.0130994	0.0141021	0.1397778	0.6310964
28	0	-148.5976	-161.2829	12.68524	0.01511423	0.002577297	0.05318917	0.01385681	0.015138	0.015138	0.015138	0.015138	0.015138	0.015138	0.015138	0.015138	0.015138	0.015138	0.015138	0.015138	0.015138	0.015138	0.015138	0.015138	0.015138	0.015138	0.015138	0.015138	0.015138	0.001672031	0.0531892	0.0151142	0.0025773	0.0708807	0.2135699
29	1	-151.3403	-161.3521	10.01181	0.007504389	0.01411699	0.1049928	0.03386046	0.081525	0.081525	0.081525	0.081525	0.081525	0.081525	0.081525	0.081525	0.081525	0.081525	0.081525	0.081525	0.081525	0.081525	0.081525	0.081525	0.081525	0.081525	0.081525	0.081525	0.081525	0.007804715	0.104993	0.00750439	0.014117	0.1266142	0.6438854
30	0	-146.6809	-159.8397	13.15882	0.001613106	0.004952342	0.05318917	0.01546734	0.00065495	0.00065495	0.00065495	0.00065495	0.00065495	0.00065495	0.00065495	0.00065495	0.00065495	0.00065495	0.00065495	0.00065495	0.00065495	0.00065495	0.00065495	0.00065495	0.00065495	0.00065495	0.00065495	0.00065495	0.00065495	0.0008557349	0.0531892	0.00161311	0.00495234	0.05975462	0.01096066
31	1	-149.0815	-159.8289	10.7474	0.004995219	0.004539986	0.1049928	0.005624588	0.0637565	0.0637565	0.0637565	0.0637565	0.0637565	0.0637565	0.0637565	0.0637565	0.0637565	0.0637565	0.0637565	0.0637565	0.0637565	0.0637565	0.0637565	0.0637565	0.0637565	0.0637565	0.0637565	0.0637565	0.0637565	0.01478892	0.104993	0.00499522	0.00453999	0.114528	0.5566892
32	0	-147.2535	-160.3318	13.0783	0.003278744	0.00600319	0.05318917	0.01177505	0.0107262	0.0107262	0.0107262	0.0107262	0.0107262	0.0107262	0.0107262	0.0107262	0.0107262	0.0107262	0.0107262	0.0107262	0.0107262	0.0107262	0.0107262	0.0107262	0.0107262	0.0107262	0.0107262	0.0107262	0.0107262	0.000842907	0.0531892	0.00327874	0.00600319	0.0624711	0.171699
33	1	-151.0022	-161.0761	10.07382	0.000997884	0.007808064	0.1169841	0.0104129	0.0693802	0.0693802	0.0693802	0.0693802	0.0693802	0.0693802	0.0693802	0.0693802	0.0693802	0.0693802	0.0693802	0.0693802	0.0693802	0.0693802	0.0693802	0.0693802	0.0693802	0.0693802	0.0693802	0.0693802	0.0693802	0.02861813	0.116984	0.000997884	0.00780806	0.1257901	0.5515555
34	0	-148.5949	-161.473	12.87808	0.005630091	0.002782001	0.05318917	0.03601916	0.00782785	0.00782785	0.00782785	0.00782785	0.00782785	0.00782785	0.00782785	0.00782785	0.00782785	0.00782785	0.00782785	0.00782785	0.00782785	0.00782785	0.00782785	0.00782785	0.00782785	0.00782785	0.00782785	0.00782785	0.00782785	0.0003856883	0.0531892	0.00563009	0.002782	0.06160126	0.1270729
35	1	-159.1834	-167.8757	8.692295	0.008574935	0.004608488	0.1331163	0.01914408	0.120929	0.120929	0.120929	0.120929	0.120929	0.120929	0.120929	0.120929	0.120929	0.120929	0.120929	0.120929	0.120929	0.120929	0.120929	0.120929	0.120929	0.120929	0.120929	0.120929	0.120929	0.06927688	0.133116	0.00857493	0.00460849	0.1462997	0.8265837
36	0	-148.5167	-160.611	12.09427	0.004677326	0.02021171	0.06058557	0.0108609	0.0326606	0.0326606	0.0326606	0.0326606	0.0326606	0.0326606	0.0326606	0.0326606	0.0326606	0.0326606	0.0326606	0.0326606	0.0326606	0.0326606	0.0326606	0.0326606	0.0326606	0.0326606	0.0326606	0.0326606	0.0326606	0.0006042458	0.0605856	0.00467733	0.0202117	0.08547461	0.3821091
