Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	extinction[26]	gamma	speciation_rates[1]	total_speciation	turnover
24	0	-135.0882	-137.3469	2.258706	0.09529303	0.04599011	0.0420041	0.0420041	0.0420041	0.0420041	0.0420041	0.0420041	0.0420041	0.0420041	0.0420041	0.0420041	0.0420041	0.0420041	0.0420041	0.0420041	0.0420041	0.0420041	0.0420041	0.0420041	0.0420041	0.0420041	0.0420041	0.0420041	0.0420041	0.0420041	0.0420041	0.0420041	0.0505342	0.095293	0.09529303	0.4407889
25	1	-133.9477	-137.0142	3.066461	0.07530077	0.04919089	0.00143292	0.00143292	0.00143292	0.00143292	0.00143292	0.00143292	0.00143292	0.00143292	0.00143292	0.00143292	0.00143292	0.00143292	0.00143292	0.00143292	0.00143292	0.00143292	0.00143292	0.00143292	0.00143292	0.00143292	0.00143292	0.00143292	0.00143292	0.00143292	0.00143292	0.00143292	0.08032269	0.0753008	0.07530077	0.01902926
26	0	-133.7563	-136.0747	2.318447	0.08740646	0.1030359	0.0126777	0.0126777	0.0126777	0.0126777	0.0126777	0.0126777	0.0126777	0.0126777	0.0126777	0.0126777	0.0126777	0.0126777	0.0126777	0.0126777	0.0126777	0.0126777	0.0126777	0.0126777	0.0126777	0.0126777	0.0126777	0.0126777	0.0126777	0.0126777	0.0126777	0.0126777	0.03239236	0.0874065	0.08740646	0.1450429
27	1	-133.6525	-134.7702	1.117693	0.1151201	0.06998192	0.0441289	0.0441289	0.0441289	0.0441289	0.0441289	0.0441289	0.0441289	0.0441289	0.0441289	0.0441289	0.0441289	0.0441289	0.0441289	0.0441289	0.0441289	0.0441289	0.0441289	0.0441289	0.0441289	0.0441289	0.0441289	0.0441289	0.0441289	0.0441289	0.0441289	0.0441289	0.02781872	0.11512	0.1151201	0.3833288
28	0	-133.2146	-136.0712	2.85665	0.08740646	0.07530746	0.00661284	0.00661284	0.00661284	0.00661284	0.00661284	0.00661284	0.00661284	0.00661284	0.00661284	0.00661284	0.00661284	0.00661284	0.00661284	0.00661284	0.00661284	0.00661284	0.00661284	0.00661284	0.00661284	0.00661284	0.00661284	0.00661284	0.00661284	0.00661284	0.00661284	0.00661284	0.006300492	0.0874065	0.08740646	0.07565615
29	1	-133.7891	-134.9991	1.210013	0.1151201	0.0782528	0.0345775	0.0345775	0.0345775	0.0345775	0.0345775	0.0345775	0.0345775	0.0345775	0.0345775	0.0345775	0.0345775	0.0345775	0.0345775	0.0345775	0.0345775	0.0345775	0.0345775	0.0345775	0.0345775	0.0345775	0.0345775	0.0345775	0.0345775	0.0345775	0.0345775	0.0345775	0.01031583	0.11512	0.1151201	0.3003598
30	0	-133.3753	-135.6016	2.226337	0.0954498	0.09385209	0.0174454	0.0174454	0.0174454	0.0174454	0.0174454	0.0174454	0.0174454	0.0174454	0.0174454	0.0174454	0.0174454	0.0174454	0.0174454	0.0174454	0.0174454	0.0174454	0.0174454	0.0174454	0.0174454	0.0174454	0.0174454	0.0174454	0.0174454	0.0174454	0.0174454	0.0174454	0.005017059	0.0954498	0.0954498	0.1827705
31	1	-135.4223	-134.8943	-0.5279841	0.1391773	0.1138363	0.0602788	0.0602788	0.0602788	0.0602788	0.0602788	0.0602788	0.0602788	0.0602788	0.0602788	0.0602788	0.0602788	0.0602788	0.0602788	0.0602788	0.0602788	0.0602788	0.0602788	0.0602788	0.0602788	0.0602788	0.0602788	0.0602788	0.0602788	0.0602788	0.0602788	0.0602788	0.01163638	0.139177	0.1391773	0.433108
32	0	-133.4795	-135.6833	2.203862	0.1000377	0.06828353	0.0202807	0.0202807	0.0202807	0.0202807	0.0202807	0.0202807	0.0202807	0.0202807	0.0202807	0.0202807	0.0202807	0.0202807	0.0202807	0.0202807	0.0202807	0.0202807	0.0202807	0.0202807	0.0202807	0.0202807	0.0202807	0.0202807	0.0202807	0.0202807	0.0202807	0.0202807	0.006725915	0.100038	0.1000377	0.2027303
33	1	-133.5882	-135.864	2.275791	0.09507332	0.06246952	0.0276969	0.0276969	0.0276969	0.0276969	0.0276969	0.0276969	0.0276969	0.0276969	0.0276969	0.0276969	0.0276969	0.0276969	0.0276969	0.0276969	0.0276969	0.0276969	0.0276969	0.0276969	0.0276969	0.0276969	0.0276969	0.0276969	0.0276969	0.0276969	0.0276969	0.0276969	0.03359658	0.0950733	0.09507332	0.291321
