Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	gamma	speciation_rates[1]	total_speciation	turnover
25	1	-97.33135	-102.9289	5.597507	0.1126825	0.008331756	0.0233279	0.0233279	0.0233279	0.0233279	0.0233279	0.0233279	0.0233279	0.0233279	0.0233279	0.0233279	0.0233279	0.0233279	0.0233279	0.0233279	0.0233279	0.0233279	0.0233279	0.0233279	0.0233279	0.0233279	0.0233279	0.0233279	0.0233279	0.001381371	0.112682	0.1126825	0.2070231
26	0	-95.46177	-100.8123	5.350531	0.1349172	0.003101548	0.0142905	0.0142905	0.0142905	0.0142905	0.0142905	0.0142905	0.0142905	0.0142905	0.0142905	0.0142905	0.0142905	0.0142905	0.0142905	0.0142905	0.0142905	0.0142905	0.0142905	0.0142905	0.0142905	0.0142905	0.0142905	0.0142905	0.0142905	0.001759556	0.134917	0.1349172	0.1059205
27	1	-95.78489	-101.099	5.31413	0.1328556	0.008565891	0.0116186	0.0116186	0.0116186	0.0116186	0.0116186	0.0116186	0.0116186	0.0116186	0.0116186	0.0116186	0.0116186	0.0116186	0.0116186	0.0116186	0.0116186	0.0116186	0.0116186	0.0116186	0.0116186	0.0116186	0.0116186	0.0116186	0.0116186	0.002675057	0.132856	0.1328556	0.087453
28	0	-97.55895	-102.8522	5.293299	0.1349172	0.003591018	0.00152584	0.00152584	0.00152584	0.00152584	0.00152584	0.00152584	0.00152584	0.00152584	0.00152584	0.00152584	0.00152584	0.00152584	0.00152584	0.00152584	0.00152584	0.00152584	0.00152584	0.00152584	0.00152584	0.00152584	0.00152584	0.00152584	0.00152584	0.006993332	0.134917	0.1349172	0.01130949
29	1	-99.43782	-104.604	5.166151	0.1328556	0.01783331	0.0317027	0.0317027	0.0317027	0.0317027	0.0317027	0.0317027	0.0317027	0.0317027	0.0317027	0.0317027	0.0317027	0.0317027	0.0317027	0.0317027	0.0317027	0.0317027	0.0317027	0.0317027	0.0317027	0.0317027	0.0317027	0.0317027	0.0317027	0.008205598	0.132856	0.1328556	0.2386252
30	0	-95.56238	-100.7958	5.233472	0.1417691	0.005173749	0.018947	0.018947	0.018947	0.018947	0.018947	0.018947	0.018947	0.018947	0.018947	0.018947	0.018947	0.018947	0.018947	0.018947	0.018947	0.018947	0.018947	0.018947	0.018947	0.018947	0.018947	0.018947	0.018947	0.002287202	0.141769	0.1417691	0.1336468
31	1	-95.43962	-100.7746	5.334997	0.1328556	0.007227947	0.0206496	0.0206496	0.0206496	0.0206496	0.0206496	0.0206496	0.0206496	0.0206496	0.0206496	0.0206496	0.0206496	0.0206496	0.0206496	0.0206496	0.0206496	0.0206496	0.0206496	0.0206496	0.0206496	0.0206496	0.0206496	0.0206496	0.0206496	0.001926318	0.132856	0.1328556	0.1554289
32	0	-95.21016	-100.4598	5.249613	0.1417691	0.004474464	0.0275018	0.0275018	0.0275018	0.0275018	0.0275018	0.0275018	0.0275018	0.0275018	0.0275018	0.0275018	0.0275018	0.0275018	0.0275018	0.0275018	0.0275018	0.0275018	0.0275018	0.0275018	0.0275018	0.0275018	0.0275018	0.0275018	0.0275018	0.001372459	0.141769	0.1417691	0.1939904
33	1	-94.89999	-100.3097	5.409693	0.1291584	0.006002272	0.0172188	0.0172188	0.0172188	0.0172188	0.0172188	0.0172188	0.0172188	0.0172188	0.0172188	0.0172188	0.0172188	0.0172188	0.0172188	0.0172188	0.0172188	0.0172188	0.0172188	0.0172188	0.0172188	0.0172188	0.0172188	0.0172188	0.0172188	0.0005959321	0.129158	0.1291584	0.133315
34	0	-95.58056	-100.8172	5.236663	0.1400538	0.007541405	0.0162887	0.0162887	0.0162887	0.0162887	0.0162887	0.0162887	0.0162887	0.0162887	0.0162887	0.0162887	0.0162887	0.0162887	0.0162887	0.0162887	0.0162887	0.0162887	0.0162887	0.0162887	0.0162887	0.0162887	0.0162887	0.0162887	0.0162887	0.001880018	0.140054	0.1400538	0.1163029
35	1	-95.48327	-100.8983	5.415053	0.1275957	0.006259866	0.0203126	0.0203126	0.0203126	0.0203126	0.0203126	0.0203126	0.0203126	0.0203126	0.0203126	0.0203126	0.0203126	0.0203126	0.0203126	0.0203126	0.0203126	0.0203126	0.0203126	0.0203126	0.0203126	0.0203126	0.0203126	0.0203126	0.0203126	0.001879182	0.127596	0.1275957	0.1591949
36	0	-95.56595	-100.7924	5.226425	0.1400538	0.009056097	0.0230678	0.0230678	0.0230678	0.0230678	0.0230678	0.0230678	0.0230678	0.0230678	0.0230678	0.0230678	0.0230678	0.0230678	0.0230678	0.0230678	0.0230678	0.0230678	0.0230678	0.0230678	0.0230678	0.0230678	0.0230678	0.0230678	0.0230678	0.001389166	0.140054	0.1400538	0.1647069
37	1	-95.70851	-101.1005	5.392035	0.1275957	0.007683724	0.0154236	0.0154236	0.0154236	0.0154236	0.0154236	0.0154236	0.0154236	0.0154236	0.0154236	0.0154236	0.0154236	0.0154236	0.0154236	0.0154236	0.0154236	0.0154236	0.0154236	0.0154236	0.0154236	0.0154236	0.0154236	0.0154236	0.0154236	0.00275709	0.127596	0.1275957	0.120879
38	0	-96.57369	-101.7894	5.215739	0.1400538	0.01025943	0.04445	0.04445	0.04445	0.04445	0.04445	0.04445	0.04445	0.04445	0.04445	0.04445	0.04445	0.04445	0.04445	0.04445	0.04445	0.04445	0.04445	0.04445	0.04445	0.04445	0.04445	0.04445	0.04445	0.00125439	0.140054	0.1400538	0.3173778
39	1	-96.56404	-101.9353	5.371255	0.1275957	0.01159738	0.0285141	0.0285141	0.0285141	0.0285141	0.0285141	0.0285141	0.0285141	0.0285141	0.0285141	0.0285141	0.0285141	0.0285141	0.0285141	0.0285141	0.0285141	0.0285141	0.0285141	0.0285141	0.0285141	0.0285141	0.0285141	0.0285141	0.0285141	0.0009214244	0.127596	0.1275957	0.2234726
40	0	-99.0229	-103.8582	4.835291	0.1598468	0.01897957	0.059506	0.059506	0.059506	0.059506	0.059506	0.059506	0.059506	0.059506	0.059506	0.059506	0.059506	0.059506	0.059506	0.059506	0.059506	0.059506	0.059506	0.059506	0.059506	0.059506	0.059506	0.059506	0.059506	0.00427457	0.159847	0.1598468	0.3722688
41	1	-96.45941	-101.5798	5.12036	0.145628	0.01151008	0.0392621	0.0392621	0.0392621	0.0392621	0.0392621	0.0392621	0.0392621	0.0392621	0.0392621	0.0392621	0.0392621	0.0392621	0.0392621	0.0392621	0.0392621	0.0392621	0.0392621	0.0392621	0.0392621	0.0392621	0.0392621	0.0392621	0.0392621	0.002133553	0.145628	0.145628	0.2696053
42	0	-99.33752	-103.8333	4.495803	0.1868937	0.01159417	0.0946228	0.0946228	0.0946228	0.0946228	0.0946228	0.0946228	0.0946228	0.0946228	0.0946228	0.0946228	0.0946228	0.0946228	0.0946228	0.0946228	0.0946228	0.0946228	0.0946228	0.0946228	0.0946228	0.0946228	0.0946228	0.0946228	0.0946228	0.009663806	0.186894	0.1868937	0.5062923
43	1	-96.98232	-102.078	5.095715	0.145628	0.01154742	0.0261119	0.0261119	0.0261119	0.0261119	0.0261119	0.0261119	0.0261119	0.0261119	0.0261119	0.0261119	0.0261119	0.0261119	0.0261119	0.0261119	0.0261119	0.0261119	0.0261119	0.0261119	0.0261119	0.0261119	0.0261119	0.0261119	0.0261119	0.004560736	0.145628	0.145628	0.1793054
