Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	total_speciation	turnover
50	0	-87.03247	-92.12723	5.094761	0.04797612	0.02121059	0.0290958	0.0290958	0.0290958	0.0290958	0.0290958	0.0290958	0.0290958	0.0290958	0.0290958	0.0290958	0.0290958	0.0290958	0.0290958	0.0290958	0.0290958	0.0290958	0.0290958	0.0290958	0.0290958	0.0290958	0.0290958	0.0529273	0.0479761	0.04797612	0.6064634
51	1	-88.63712	-93.63131	4.994185	0.04415571	0.08278721	0.00736802	0.00736802	0.00736802	0.00736802	0.00736802	0.00736802	0.00736802	0.00736802	0.00736802	0.00736802	0.00736802	0.00736802	0.00736802	0.00736802	0.00736802	0.00736802	0.00736802	0.00736802	0.00736802	0.00736802	0.00736802	0.02414502	0.0441557	0.04415571	0.1668644
52	0	-87.0842	-91.86063	4.776436	0.0575663	0.007978143	0.0238801	0.0238801	0.0238801	0.0238801	0.0238801	0.0238801	0.0238801	0.0238801	0.0238801	0.0238801	0.0238801	0.0238801	0.0238801	0.0238801	0.0238801	0.0238801	0.0238801	0.0238801	0.0238801	0.0238801	0.0238801	0.04091756	0.0575663	0.0575663	0.4148286
53	1	-87.14775	-90.92124	3.773496	0.07254752	0.02277664	0.0602901	0.0602901	0.0602901	0.0602901	0.0602901	0.0602901	0.0602901	0.0602901	0.0602901	0.0602901	0.0602901	0.0602901	0.0602901	0.0602901	0.0602901	0.0602901	0.0602901	0.0602901	0.0602901	0.0602901	0.0602901	0.03725425	0.0725475	0.07254752	0.8310427
54	0	-87.49864	-90.77772	3.279077	0.07542095	0.03809593	0.0590323	0.0590323	0.0590323	0.0590323	0.0590323	0.0590323	0.0590323	0.0590323	0.0590323	0.0590323	0.0590323	0.0590323	0.0590323	0.0590323	0.0590323	0.0590323	0.0590323	0.0590323	0.0590323	0.0590323	0.0590323	0.05427606	0.075421	0.07542095	0.7827039
55	1	-88.62133	-91.57007	2.948738	0.08321262	0.04391074	0.0454138	0.0454138	0.0454138	0.0454138	0.0454138	0.0454138	0.0454138	0.0454138	0.0454138	0.0454138	0.0454138	0.0454138	0.0454138	0.0454138	0.0454138	0.0454138	0.0454138	0.0454138	0.0454138	0.0454138	0.0454138	0.03512404	0.0832126	0.08321262	0.5457556
56	0	-87.5887	-92.08197	4.493267	0.05920665	0.04689809	0.0255416	0.0255416	0.0255416	0.0255416	0.0255416	0.0255416	0.0255416	0.0255416	0.0255416	0.0255416	0.0255416	0.0255416	0.0255416	0.0255416	0.0255416	0.0255416	0.0255416	0.0255416	0.0255416	0.0255416	0.0255416	0.02055215	0.0592067	0.05920665	0.4313977
57	1	-88.49643	-91.45958	2.963157	0.07819383	0.07664592	0.0481456	0.0481456	0.0481456	0.0481456	0.0481456	0.0481456	0.0481456	0.0481456	0.0481456	0.0481456	0.0481456	0.0481456	0.0481456	0.0481456	0.0481456	0.0481456	0.0481456	0.0481456	0.0481456	0.0481456	0.0481456	0.03081563	0.0781938	0.07819383	0.6157207
58	0	-88.45543	-92.20549	3.750056	0.07041571	0.0561698	0.0333462	0.0333462	0.0333462	0.0333462	0.0333462	0.0333462	0.0333462	0.0333462	0.0333462	0.0333462	0.0333462	0.0333462	0.0333462	0.0333462	0.0333462	0.0333462	0.0333462	0.0333462	0.0333462	0.0333462	0.0333462	0.01889228	0.0704157	0.07041571	0.4735622
59	1	-89.13075	-89.73024	0.5994852	0.1201004	0.04358112	0.106852	0.106852	0.106852	0.106852	0.106852	0.106852	0.106852	0.106852	0.106852	0.106852	0.106852	0.106852	0.106852	0.106852	0.106852	0.106852	0.106852	0.106852	0.106852	0.106852	0.106852	0.05084638	0.1201	0.1201004	0.8896892
60	0	-90.82555	-93.52862	2.703073	0.06174257	0.0885993	0.0355133	0.0355133	0.0355133	0.0355133	0.0355133	0.0355133	0.0355133	0.0355133	0.0355133	0.0355133	0.0355133	0.0355133	0.0355133	0.0355133	0.0355133	0.0355133	0.0355133	0.0355133	0.0355133	0.0355133	0.0355133	0.1427782	0.0617426	0.06174257	0.5751832
61	1	-91.01555	-92.66172	1.646169	0.0782299	0.1237236	0.0476034	0.0476034	0.0476034	0.0476034	0.0476034	0.0476034	0.0476034	0.0476034	0.0476034	0.0476034	0.0476034	0.0476034	0.0476034	0.0476034	0.0476034	0.0476034	0.0476034	0.0476034	0.0476034	0.0476034	0.0476034	0.1152221	0.0782299	0.0782299	0.6085059
62	0	-89.10966	-92.61415	3.504491	0.06174257	0.08078624	0.0272345	0.0272345	0.0272345	0.0272345	0.0272345	0.0272345	0.0272345	0.0272345	0.0272345	0.0272345	0.0272345	0.0272345	0.0272345	0.0272345	0.0272345	0.0272345	0.0272345	0.0272345	0.0272345	0.0272345	0.0272345	0.07044943	0.0617426	0.06174257	0.4410973
63	1	-87.83428	-93.30617	5.47189	0.03768543	0.06143268	0.00915179	0.00915179	0.00915179	0.00915179	0.00915179	0.00915179	0.00915179	0.00915179	0.00915179	0.00915179	0.00915179	0.00915179	0.00915179	0.00915179	0.00915179	0.00915179	0.00915179	0.00915179	0.00915179	0.00915179	0.00915179	0.03623605	0.0376854	0.03768543	0.2428469
64	0	-90.65511	-94.35364	3.698529	0.06174257	0.06033907	0.0118209	0.0118209	0.0118209	0.0118209	0.0118209	0.0118209	0.0118209	0.0118209	0.0118209	0.0118209	0.0118209	0.0118209	0.0118209	0.0118209	0.0118209	0.0118209	0.0118209	0.0118209	0.0118209	0.0118209	0.0118209	0.07149282	0.0617426	0.06174257	0.1914541
65	1	-89.79798	-94.31934	4.521358	0.03768543	0.09921816	0.0142426	0.0142426	0.0142426	0.0142426	0.0142426	0.0142426	0.0142426	0.0142426	0.0142426	0.0142426	0.0142426	0.0142426	0.0142426	0.0142426	0.0142426	0.0142426	0.0142426	0.0142426	0.0142426	0.0142426	0.0142426	0.09350372	0.0376854	0.03768543	0.3779329
66	0	-87.34157	-90.14969	2.808123	0.08838978	0.02329377	0.0749472	0.0749472	0.0749472	0.0749472	0.0749472	0.0749472	0.0749472	0.0749472	0.0749472	0.0749472	0.0749472	0.0749472	0.0749472	0.0749472	0.0749472	0.0749472	0.0749472	0.0749472	0.0749472	0.0749472	0.0749472	0.03899131	0.0883898	0.08838978	0.8479173
67	1	-87.32497	-92.27241	4.94744	0.05394993	0.02942471	0.0166909	0.0166909	0.0166909	0.0166909	0.0166909	0.0166909	0.0166909	0.0166909	0.0166909	0.0166909	0.0166909	0.0166909	0.0166909	0.0166909	0.0166909	0.0166909	0.0166909	0.0166909	0.0166909	0.0166909	0.0166909	0.02389293	0.0539499	0.05394993	0.309378
68	0	-90.21458	-94.6718	4.457222	0.05898264	0.01579846	0.00469756	0.00469756	0.00469756	0.00469756	0.00469756	0.00469756	0.00469756	0.00469756	0.00469756	0.00469756	0.00469756	0.00469756	0.00469756	0.00469756	0.00469756	0.00469756	0.00469756	0.00469756	0.00469756	0.00469756	0.00469756	0.05658952	0.0589826	0.05898264	0.0796431
69	1	-86.7929	-91.83846	5.045564	0.05056691	0.02497632	0.0183009	0.0183009	0.0183009	0.0183009	0.0183009	0.0183009	0.0183009	0.0183009	0.0183009	0.0183009	0.0183009	0.0183009	0.0183009	0.0183009	0.0183009	0.0183009	0.0183009	0.0183009	0.0183009	0.0183009	0.0183009	0.03866257	0.0505669	0.05056691	0.3619155
