Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	total_speciation	turnover
43	1	-87.38595	-92.62871	5.242757	0.1286508	0.0009456665	0.0155472	0.0155472	0.0155472	0.0155472	0.0155472	0.0155472	0.0155472	0.0155472	0.0155472	0.0155472	0.0155472	0.0155472	0.0155472	0.0155472	0.0155472	0.0155472	0.0155472	0.0155472	0.0155472	0.0155472	0.0155472	0.03194895	0.128651	0.1286508	0.1208481
44	0	-83.67228	-88.79789	5.125603	0.1469986	0.0008689829	0.00176634	0.00176634	0.00176634	0.00176634	0.00176634	0.00176634	0.00176634	0.00176634	0.00176634	0.00176634	0.00176634	0.00176634	0.00176634	0.00176634	0.00176634	0.00176634	0.00176634	0.00176634	0.00176634	0.00176634	0.00176634	0.02280382	0.146999	0.1469986	0.01201604
45	1	-84.79574	-89.03029	4.234546	0.2272597	0.0001079218	0.0807066	0.0807066	0.0807066	0.0807066	0.0807066	0.0807066	0.0807066	0.0807066	0.0807066	0.0807066	0.0807066	0.0807066	0.0807066	0.0807066	0.0807066	0.0807066	0.0807066	0.0807066	0.0807066	0.0807066	0.0807066	0.02108261	0.22726	0.2272597	0.3551293
46	0	-83.92486	-89.21491	5.290054	0.1469986	0.0003246322	0.0131575	0.0131575	0.0131575	0.0131575	0.0131575	0.0131575	0.0131575	0.0131575	0.0131575	0.0131575	0.0131575	0.0131575	0.0131575	0.0131575	0.0131575	0.0131575	0.0131575	0.0131575	0.0131575	0.0131575	0.0131575	0.006903046	0.146999	0.1469986	0.08950744
47	1	-83.82222	-88.76855	4.946326	0.1770086	0.0001144909	0.0355426	0.0355426	0.0355426	0.0355426	0.0355426	0.0355426	0.0355426	0.0355426	0.0355426	0.0355426	0.0355426	0.0355426	0.0355426	0.0355426	0.0355426	0.0355426	0.0355426	0.0355426	0.0355426	0.0355426	0.0355426	0.007240835	0.177009	0.1770086	0.2007959
48	0	-82.82849	-87.88786	5.059362	0.1611021	0.0003988173	0.00624442	0.00624442	0.00624442	0.00624442	0.00624442	0.00624442	0.00624442	0.00624442	0.00624442	0.00624442	0.00624442	0.00624442	0.00624442	0.00624442	0.00624442	0.00624442	0.00624442	0.00624442	0.00624442	0.00624442	0.00624442	0.01380421	0.161102	0.1611021	0.03876066
49	1	-86.39812	-90.63042	4.232294	0.2177073	0.000148833	0.0588469	0.0588469	0.0588469	0.0588469	0.0588469	0.0588469	0.0588469	0.0588469	0.0588469	0.0588469	0.0588469	0.0588469	0.0588469	0.0588469	0.0588469	0.0588469	0.0588469	0.0588469	0.0588469	0.0588469	0.0588469	0.03216737	0.217707	0.2177073	0.2703028
50	0	-83.55314	-88.39716	4.844019	0.174616	0.0005583602	0.0178457	0.0178457	0.0178457	0.0178457	0.0178457	0.0178457	0.0178457	0.0178457	0.0178457	0.0178457	0.0178457	0.0178457	0.0178457	0.0178457	0.0178457	0.0178457	0.0178457	0.0178457	0.0178457	0.0178457	0.0178457	0.01975797	0.174616	0.174616	0.1021998
51	1	-84.10295	-88.8315	4.728553	0.1909626	0.0004513367	0.0100567	0.0100567	0.0100567	0.0100567	0.0100567	0.0100567	0.0100567	0.0100567	0.0100567	0.0100567	0.0100567	0.0100567	0.0100567	0.0100567	0.0100567	0.0100567	0.0100567	0.0100567	0.0100567	0.0100567	0.0100567	0.01275809	0.190963	0.1909626	0.0526632
52	0	-83.79008	-88.62517	4.835094	0.174616	0.001839619	0.0182471	0.0182471	0.0182471	0.0182471	0.0182471	0.0182471	0.0182471	0.0182471	0.0182471	0.0182471	0.0182471	0.0182471	0.0182471	0.0182471	0.0182471	0.0182471	0.0182471	0.0182471	0.0182471	0.0182471	0.0182471	0.01936926	0.174616	0.174616	0.1044986
