Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
49	1	-28.57154	-43.46254	14.891	0.0005757955	0.007730488	0.02494959	0.005844558	0.000338664	0.000338664	0.000338664	0.000338664	0.000338664	0.000338664	0.000338664	0.000338664	0.000338664	0.000338664	0.000338664	0.000338664	0.000338664	0.000338664	0.000338664	0.000338664	0.000338664	0.000338664	0.005604406	0.0249496	0.000575796	0.00773049	0.03325587	0.0101836
50	2	-33.7148	-47.75968	14.04487	0.004126217	0.01984483	0.01806446	0.02149884	0.0148458	0.0148458	0.0148458	0.0148458	0.0148458	0.0148458	0.0148458	0.0148458	0.0148458	0.0148458	0.0148458	0.0148458	0.0148458	0.0148458	0.0148458	0.0148458	0.0148458	0.0148458	0.01460089	0.0180645	0.00412622	0.0198448	0.04203551	0.3531734
51	3	-33.00507	-47.21389	14.20881	0.007948599	0.01433983	0.01796054	0.01160234	0.00889538	0.00889538	0.00889538	0.00889538	0.00889538	0.00889538	0.00889538	0.00889538	0.00889538	0.00889538	0.00889538	0.00889538	0.00889538	0.00889538	0.00889538	0.00889538	0.00889538	0.00889538	0.02030465	0.0179605	0.0079486	0.0143398	0.04024897	0.2210088
52	0	-31.7981	-45.56646	13.76836	0.01796523	0.001707518	0.03080006	0.001831156	0.0238433	0.0238433	0.0238433	0.0238433	0.0238433	0.0238433	0.0238433	0.0238433	0.0238433	0.0238433	0.0238433	0.0238433	0.0238433	0.0238433	0.0238433	0.0238433	0.0238433	0.0238433	0.004295563	0.0308001	0.0179652	0.00170752	0.05047281	0.4723987
53	1	-28.37303	-43.68118	15.30814	0.006071197	0.001699278	0.01945321	0.003637189	0.000917361	0.000917361	0.000917361	0.000917361	0.000917361	0.000917361	0.000917361	0.000917361	0.000917361	0.000917361	0.000917361	0.000917361	0.000917361	0.000917361	0.000917361	0.000917361	0.000917361	0.000917361	0.007295918	0.0194532	0.0060712	0.00169928	0.02722369	0.03369715
54	2	-30.25166	-45.21889	14.96723	0.006836809	0.007454163	0.01752017	0.00760096	0.00575445	0.00575445	0.00575445	0.00575445	0.00575445	0.00575445	0.00575445	0.00575445	0.00575445	0.00575445	0.00575445	0.00575445	0.00575445	0.00575445	0.00575445	0.00575445	0.00575445	0.00575445	0.006092597	0.0175202	0.00683681	0.00745416	0.03181114	0.1808943
55	3	-31.82391	-45.54116	13.71725	0.01635712	0.0008473873	0.03376647	0.004886562	0.0152494	0.0152494	0.0152494	0.0152494	0.0152494	0.0152494	0.0152494	0.0152494	0.0152494	0.0152494	0.0152494	0.0152494	0.0152494	0.0152494	0.0152494	0.0152494	0.0152494	0.0152494	0.002948544	0.0337665	0.0163571	0.000847387	0.05097097	0.299179
56	0	-29.55419	-44.40314	14.84895	0.009012686	0.005689345	0.01984751	0.003276634	0.00756839	0.00756839	0.00756839	0.00756839	0.00756839	0.00756839	0.00756839	0.00756839	0.00756839	0.00756839	0.00756839	0.00756839	0.00756839	0.00756839	0.00756839	0.00756839	0.00756839	0.00756839	0.003542232	0.0198475	0.00901269	0.00568934	0.03454954	0.2190591
57	1	-33.43567	-47.28363	13.84796	0.01140901	0.001142797	0.03427047	0.002132728	0.00301345	0.00301345	0.00301345	0.00301345	0.00301345	0.00301345	0.00301345	0.00301345	0.00301345	0.00301345	0.00301345	0.00301345	0.00301345	0.00301345	0.00301345	0.00301345	0.00301345	0.00301345	0.02096541	0.0342705	0.011409	0.0011428	0.04682228	0.06435923
58	2	-31.30548	-45.32072	14.01524	0.007176505	0.002287339	0.03574717	0.007746624	0.0204395	0.0204395	0.0204395	0.0204395	0.0204395	0.0204395	0.0204395	0.0204395	0.0204395	0.0204395	0.0204395	0.0204395	0.0204395	0.0204395	0.0204395	0.0204395	0.0204395	0.0204395	0.009628221	0.0357472	0.0071765	0.00228734	0.04521102	0.4520905
