Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	gamma	speciation_rates[1]	total_speciation	turnover
28	0	-34.43529	-40.05239	5.6171	0.04627722	0.0006367221	0.0170645	0.0170645	0.0170645	0.0170645	0.0170645	0.0170645	0.0170645	0.0170645	0.0170645	0.0170645	0.0170645	0.0170645	0.0170645	0.0170645	0.0170645	0.0170645	0.0170645	0.0170645	0.004497004	0.0462772	0.04627722	0.3687454
29	1	-34.52917	-40.44259	5.913421	0.04178843	0.001940986	0.0171036	0.0171036	0.0171036	0.0171036	0.0171036	0.0171036	0.0171036	0.0171036	0.0171036	0.0171036	0.0171036	0.0171036	0.0171036	0.0171036	0.0171036	0.0171036	0.0171036	0.0171036	0.004217769	0.0417884	0.04178843	0.40929
30	0	-34.34005	-39.9601	5.620055	0.04627722	0.0006942444	0.019532	0.019532	0.019532	0.019532	0.019532	0.019532	0.019532	0.019532	0.019532	0.019532	0.019532	0.019532	0.019532	0.019532	0.019532	0.019532	0.019532	0.019532	0.004143994	0.0462772	0.04627722	0.4220648
31	1	-33.66387	-39.5004	5.836529	0.04320703	0.002585249	0.00784787	0.00784787	0.00784787	0.00784787	0.00784787	0.00784787	0.00784787	0.00784787	0.00784787	0.00784787	0.00784787	0.00784787	0.00784787	0.00784787	0.00784787	0.00784787	0.00784787	0.00784787	0.001574176	0.043207	0.04320703	0.1816342
32	0	-37.72398	-44.91489	7.190916	0.02218689	0.003108778	0.00719911	0.00719911	0.00719911	0.00719911	0.00719911	0.00719911	0.00719911	0.00719911	0.00719911	0.00719911	0.00719911	0.00719911	0.00719911	0.00719911	0.00719911	0.00719911	0.00719911	0.00719911	0.009173429	0.0221869	0.02218689	0.3244759
33	1	-33.49542	-39.33178	5.836358	0.04320703	0.001825148	0.0141074	0.0141074	0.0141074	0.0141074	0.0141074	0.0141074	0.0141074	0.0141074	0.0141074	0.0141074	0.0141074	0.0141074	0.0141074	0.0141074	0.0141074	0.0141074	0.0141074	0.0141074	0.002351281	0.043207	0.04320703	0.3265063
34	0	-34.59718	-40.84642	6.249242	0.03649843	0.003675729	0.00702895	0.00702895	0.00702895	0.00702895	0.00702895	0.00702895	0.00702895	0.00702895	0.00702895	0.00702895	0.00702895	0.00702895	0.00702895	0.00702895	0.00702895	0.00702895	0.00702895	0.00702895	0.005030097	0.0364984	0.03649843	0.1925824
35	1	-32.75594	-38.93067	6.174737	0.03832959	0.002017698	0.0113786	0.0113786	0.0113786	0.0113786	0.0113786	0.0113786	0.0113786	0.0113786	0.0113786	0.0113786	0.0113786	0.0113786	0.0113786	0.0113786	0.0113786	0.0113786	0.0113786	0.0113786	0.001632418	0.0383296	0.03832959	0.2968624
36	0	-35.20221	-41.1901	5.987881	0.04028781	0.005483608	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.0118487	0.003478042	0.0402878	0.04028781	0.2941026
37	1	-35.00398	-39.97338	4.969395	0.0560183	0.002711113	0.0215694	0.0215694	0.0215694	0.0215694	0.0215694	0.0215694	0.0215694	0.0215694	0.0215694	0.0215694	0.0215694	0.0215694	0.0215694	0.0215694	0.0215694	0.0215694	0.0215694	0.0215694	0.0006644324	0.0560183	0.0560183	0.3850413
