Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	extinction[26]	gamma	speciation_rates[1]	total_speciation	turnover
24	0	-58.01913	-62.25514	4.236013	0.04928191	0.08093349	0.0253786	0.0253786	0.0253786	0.0253786	0.0253786	0.0253786	0.0253786	0.0253786	0.0253786	0.0253786	0.0253786	0.0253786	0.0253786	0.0253786	0.0253786	0.0253786	0.0253786	0.0253786	0.0253786	0.0253786	0.0253786	0.0253786	0.0253786	0.0253786	0.0253786	0.0253786	0.06962964	0.0492819	0.04928191	0.5149687
25	1	-55.2299	-60.31348	5.083585	0.04357171	0.06677835	0.0117021	0.0117021	0.0117021	0.0117021	0.0117021	0.0117021	0.0117021	0.0117021	0.0117021	0.0117021	0.0117021	0.0117021	0.0117021	0.0117021	0.0117021	0.0117021	0.0117021	0.0117021	0.0117021	0.0117021	0.0117021	0.0117021	0.0117021	0.0117021	0.0117021	0.0117021	0.03330552	0.0435717	0.04357171	0.2685718
26	0	-58.36153	-62.45795	4.096423	0.05971241	0.03525165	0.0372316	0.0372316	0.0372316	0.0372316	0.0372316	0.0372316	0.0372316	0.0372316	0.0372316	0.0372316	0.0372316	0.0372316	0.0372316	0.0372316	0.0372316	0.0372316	0.0372316	0.0372316	0.0372316	0.0372316	0.0372316	0.0372316	0.0372316	0.0372316	0.0372316	0.0372316	0.06665695	0.0597124	0.05971241	0.6235158
27	1	-56.42578	-60.83227	4.406491	0.05162079	0.05885053	0.0136639	0.0136639	0.0136639	0.0136639	0.0136639	0.0136639	0.0136639	0.0136639	0.0136639	0.0136639	0.0136639	0.0136639	0.0136639	0.0136639	0.0136639	0.0136639	0.0136639	0.0136639	0.0136639	0.0136639	0.0136639	0.0136639	0.0136639	0.0136639	0.0136639	0.0136639	0.06062473	0.0516208	0.05162079	0.264698
28	0	-58.15556	-61.80892	3.653362	0.06793496	0.04759719	0.0389701	0.0389701	0.0389701	0.0389701	0.0389701	0.0389701	0.0389701	0.0389701	0.0389701	0.0389701	0.0389701	0.0389701	0.0389701	0.0389701	0.0389701	0.0389701	0.0389701	0.0389701	0.0389701	0.0389701	0.0389701	0.0389701	0.0389701	0.0389701	0.0389701	0.0389701	0.04925811	0.067935	0.06793496	0.5736376
29	1	-58.6774	-62.01338	3.335978	0.0703666	0.05935355	0.0344942	0.0344942	0.0344942	0.0344942	0.0344942	0.0344942	0.0344942	0.0344942	0.0344942	0.0344942	0.0344942	0.0344942	0.0344942	0.0344942	0.0344942	0.0344942	0.0344942	0.0344942	0.0344942	0.0344942	0.0344942	0.0344942	0.0344942	0.0344942	0.0344942	0.0344942	0.05464327	0.0703666	0.0703666	0.4902077
30	0	-58.3991	-61.90818	3.509079	0.04286927	0.09280076	0.00787664	0.00787664	0.00787664	0.00787664	0.00787664	0.00787664	0.00787664	0.00787664	0.00787664	0.00787664	0.00787664	0.00787664	0.00787664	0.00787664	0.00787664	0.00787664	0.00787664	0.00787664	0.00787664	0.00787664	0.00787664	0.00787664	0.00787664	0.00787664	0.00787664	0.00787664	0.1689504	0.0428693	0.04286927	0.1837363
31	1	-60.00783	-62.84538	2.837547	0.04440372	0.2208501	0.00417351	0.00417351	0.00417351	0.00417351	0.00417351	0.00417351	0.00417351	0.00417351	0.00417351	0.00417351	0.00417351	0.00417351	0.00417351	0.00417351	0.00417351	0.00417351	0.00417351	0.00417351	0.00417351	0.00417351	0.00417351	0.00417351	0.00417351	0.00417351	0.00417351	0.00417351	0.09884304	0.0444037	0.04440372	0.09399013
32	0	-54.82822	-60.0187	5.190478	0.04398288	0.06367531	0.00466578	0.00466578	0.00466578	0.00466578	0.00466578	0.00466578	0.00466578	0.00466578	0.00466578	0.00466578	0.00466578	0.00466578	0.00466578	0.00466578	0.00466578	0.00466578	0.00466578	0.00466578	0.00466578	0.00466578	0.00466578	0.00466578	0.00466578	0.00466578	0.00466578	0.00466578	0.02325102	0.0439829	0.04398288	0.1060818
33	1	-56.31892	-61.93921	5.620292	0.04555719	0.01678214	0.00431547	0.00431547	0.00431547	0.00431547	0.00431547	0.00431547	0.00431547	0.00431547	0.00431547	0.00431547	0.00431547	0.00431547	0.00431547	0.00431547	0.00431547	0.00431547	0.00431547	0.00431547	0.00431547	0.00431547	0.00431547	0.00431547	0.00431547	0.00431547	0.00431547	0.00431547	0.01771239	0.0455572	0.04555719	0.09472649
34	0	-54.01619	-59.5087	5.492512	0.03736554	0.07523098	0.000204241	0.000204241	0.000204241	0.000204241	0.000204241	0.000204241	0.000204241	0.000204241	0.000204241	0.000204241	0.000204241	0.000204241	0.000204241	0.000204241	0.000204241	0.000204241	0.000204241	0.000204241	0.000204241	0.000204241	0.000204241	0.000204241	0.000204241	0.000204241	0.000204241	0.000204241	0.02121545	0.0373655	0.03736554	0.00546602
35	1	-54.50067	-60.53832	6.03765	0.03572685	0.008629467	0.000227746	0.000227746	0.000227746	0.000227746	0.000227746	0.000227746	0.000227746	0.000227746	0.000227746	0.000227746	0.000227746	0.000227746	0.000227746	0.000227746	0.000227746	0.000227746	0.000227746	0.000227746	0.000227746	0.000227746	0.000227746	0.000227746	0.000227746	0.000227746	0.000227746	0.000227746	0.04314	0.0357269	0.03572685	0.006374653
36	0	-58.34312	-63.15265	4.809531	0.03022974	0.1344523	0.0076767	0.0076767	0.0076767	0.0076767	0.0076767	0.0076767	0.0076767	0.0076767	0.0076767	0.0076767	0.0076767	0.0076767	0.0076767	0.0076767	0.0076767	0.0076767	0.0076767	0.0076767	0.0076767	0.0076767	0.0076767	0.0076767	0.0076767	0.0076767	0.0076767	0.0076767	0.07312793	0.0302297	0.03022974	0.2539453
37	1	-56.35001	-61.85596	5.505956	0.028904	0.05252021	0.00414609	0.00414609	0.00414609	0.00414609	0.00414609	0.00414609	0.00414609	0.00414609	0.00414609	0.00414609	0.00414609	0.00414609	0.00414609	0.00414609	0.00414609	0.00414609	0.00414609	0.00414609	0.00414609	0.00414609	0.00414609	0.00414609	0.00414609	0.00414609	0.00414609	0.00414609	0.09337582	0.028904	0.028904	0.1434433
38	0	-56.82727	-60.97656	4.14929	0.03587753	0.1454043	0.00173919	0.00173919	0.00173919	0.00173919	0.00173919	0.00173919	0.00173919	0.00173919	0.00173919	0.00173919	0.00173919	0.00173919	0.00173919	0.00173919	0.00173919	0.00173919	0.00173919	0.00173919	0.00173919	0.00173919	0.00173919	0.00173919	0.00173919	0.00173919	0.00173919	0.00173919	0.09429679	0.0358775	0.03587753	0.04847562
39	1	-60.91327	-65.20414	4.290863	0.028904	0.1616952	0.0101019	0.0101019	0.0101019	0.0101019	0.0101019	0.0101019	0.0101019	0.0101019	0.0101019	0.0101019	0.0101019	0.0101019	0.0101019	0.0101019	0.0101019	0.0101019	0.0101019	0.0101019	0.0101019	0.0101019	0.0101019	0.0101019	0.0101019	0.0101019	0.0101019	0.0101019	0.10571	0.028904	0.028904	0.3495
40	0	-55.00938	-60.15144	5.142057	0.04035165	0.07083132	0.00761414	0.00761414	0.00761414	0.00761414	0.00761414	0.00761414	0.00761414	0.00761414	0.00761414	0.00761414	0.00761414	0.00761414	0.00761414	0.00761414	0.00761414	0.00761414	0.00761414	0.00761414	0.00761414	0.00761414	0.00761414	0.00761414	0.00761414	0.00761414	0.00761414	0.00761414	0.04273519	0.0403516	0.04035165	0.1886947
41	1	-55.16031	-60.26137	5.101054	0.03292564	0.1077605	0.000483939	0.000483939	0.000483939	0.000483939	0.000483939	0.000483939	0.000483939	0.000483939	0.000483939	0.000483939	0.000483939	0.000483939	0.000483939	0.000483939	0.000483939	0.000483939	0.000483939	0.000483939	0.000483939	0.000483939	0.000483939	0.000483939	0.000483939	0.000483939	0.000483939	0.000483939	0.05448414	0.0329256	0.03292564	0.01469793
42	0	-59.11473	-62.95381	3.839076	0.04035165	0.1063652	0.0163569	0.0163569	0.0163569	0.0163569	0.0163569	0.0163569	0.0163569	0.0163569	0.0163569	0.0163569	0.0163569	0.0163569	0.0163569	0.0163569	0.0163569	0.0163569	0.0163569	0.0163569	0.0163569	0.0163569	0.0163569	0.0163569	0.0163569	0.0163569	0.0163569	0.0163569	0.1374994	0.0403516	0.04035165	0.4053578
43	1	-56.16908	-60.76555	4.596479	0.03292564	0.09629775	0.000542313	0.000542313	0.000542313	0.000542313	0.000542313	0.000542313	0.000542313	0.000542313	0.000542313	0.000542313	0.000542313	0.000542313	0.000542313	0.000542313	0.000542313	0.000542313	0.000542313	0.000542313	0.000542313	0.000542313	0.000542313	0.000542313	0.000542313	0.000542313	0.000542313	0.000542313	0.1164044	0.0329256	0.03292564	0.01647083
44	0	-55.9426	-61.56142	5.618821	0.04035165	0.03370227	0.015558	0.015558	0.015558	0.015558	0.015558	0.015558	0.015558	0.015558	0.015558	0.015558	0.015558	0.015558	0.015558	0.015558	0.015558	0.015558	0.015558	0.015558	0.015558	0.015558	0.015558	0.015558	0.015558	0.015558	0.015558	0.015558	0.03218784	0.0403516	0.04035165	0.3855609
45	1	-57.28775	-61.74354	4.455794	0.03287313	0.1285231	0.00483107	0.00483107	0.00483107	0.00483107	0.00483107	0.00483107	0.00483107	0.00483107	0.00483107	0.00483107	0.00483107	0.00483107	0.00483107	0.00483107	0.00483107	0.00483107	0.00483107	0.00483107	0.00483107	0.00483107	0.00483107	0.00483107	0.00483107	0.00483107	0.00483107	0.00483107	0.0985627	0.0328731	0.03287313	0.146961
