Iteration	Replicate_ID	Posterior	Likelihood	Prior	delta_0	delta_1	gamma_0	gamma_1	q_01	q_10
198	18	-1089.494	-1102.473	12.97961	0.01374303	0.04537426	0.005864671	0.005233155	0.008697028	0.004678374
199	19	-1085.415	-1098.33	12.91445	0.02306228	0.04698001	0.004080696	0.006337844	0.006735061	0.002909868
200	0	-1084.938	-1097.818	12.88042	0.02030682	0.04821242	0.008915561	0.0003510349	0.00863178	0.00709094
201	1	-1083.336	-1096.357	13.02013	0.024256	0.03649326	0.007379868	0.0005539805	0.008101334	0.002753352
202	2	-1078.241	-1091.437	13.19662	0.02117589	0.01664565	0.01206273	0.001274675	0.008534552	0.002195911
203	3	-1084.718	-1097.646	12.928	0.02285105	0.03794676	0.008545057	0.002438089	0.008551868	0.008417897
204	4	-1088.386	-1101.339	12.95367	0.01874149	0.04717497	0.005331909	0.003342553	0.006493867	0.005099176
205	5	-1076.768	-1089.842	13.07372	0.01313875	0.03274542	0.009921551	0.00172487	0.008732201	0.007916477
206	6	-1079.936	-1093.047	13.11083	0.02569885	0.01540089	0.01678793	0.001083681	0.008153936	0.003342797
207	7	-1081.15	-1094.227	13.07649	0.02874141	0.01910292	0.01331699	0.001697856	0.008441855	0.002600877
208	8	-1080.631	-1093.666	13.0357	0.02349746	0.03753454	0.00625746	0.0007835873	0.007444947	0.002463468
209	9	-1078.758	-1091.781	13.02279	0.02495735	0.03540825	0.005624678	0.003022436	0.008211255	0.002048551
210	10	-1076.027	-1089.043	13.01548	0.01988412	0.03570931	0.006481505	0.0004579251	0.009285525	0.008184181
211	11	-1074.766	-1087.763	12.99685	0.02129588	0.03756707	0.007787063	0.003173873	0.009413386	0.002628788
212	12	-1077.969	-1091.034	13.06465	0.01161819	0.03311988	0.0108675	0.0007362539	0.009429802	0.009314417
213	13	-1077.123	-1090.073	12.9495	0.02413197	0.03926583	0.006895042	0.001798632	0.009008804	0.005500799
214	14	-1085.697	-1098.837	13.13981	0.02459031	0.01637522	0.01375133	0.001087189	0.009614723	0.002150901
215	15	-1077.387	-1090.4	13.01257	0.01640656	0.03803776	0.008332798	0.0008907462	0.01011642	0.006509532
