Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	extinction[26]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
29	1	-126.644	-136.2096	9.565631	0.01543822	0.03263662	0.07064123	0.00493016	0.065205	0.065205	0.065205	0.065205	0.065205	0.065205	0.065205	0.065205	0.065205	0.065205	0.065205	0.065205	0.065205	0.065205	0.065205	0.065205	0.065205	0.065205	0.065205	0.065205	0.065205	0.065205	0.065205	0.065205	0.065205	0.065205	0.03588886	0.0706412	0.0154382	0.0326366	0.1187161	0.549252
30	0	-126.8905	-136.5689	9.678363	0.004586224	0.04525717	0.05546175	0.01230436	0.0415251	0.0415251	0.0415251	0.0415251	0.0415251	0.0415251	0.0415251	0.0415251	0.0415251	0.0415251	0.0415251	0.0415251	0.0415251	0.0415251	0.0415251	0.0415251	0.0415251	0.0415251	0.0415251	0.0415251	0.0415251	0.0415251	0.0415251	0.0415251	0.0415251	0.0415251	0.09355548	0.0554617	0.00458622	0.0452572	0.1053051	0.3943308
31	1	-126.8678	-136.5394	9.671614	0.0002838831	0.07451358	0.03816479	0.01374046	0.0391228	0.0391228	0.0391228	0.0391228	0.0391228	0.0391228	0.0391228	0.0391228	0.0391228	0.0391228	0.0391228	0.0391228	0.0391228	0.0391228	0.0391228	0.0391228	0.0391228	0.0391228	0.0391228	0.0391228	0.0391228	0.0391228	0.0391228	0.0391228	0.0391228	0.0391228	0.04922201	0.0381648	0.000283883	0.0745136	0.1129622	0.3463348
32	0	-133.9614	-141.1429	7.181497	0.02748474	0.03874752	0.0754027	0.05361402	0.111482	0.111482	0.111482	0.111482	0.111482	0.111482	0.111482	0.111482	0.111482	0.111482	0.111482	0.111482	0.111482	0.111482	0.111482	0.111482	0.111482	0.111482	0.111482	0.111482	0.111482	0.111482	0.111482	0.111482	0.111482	0.111482	0.09519976	0.0754027	0.0274847	0.0387475	0.141635	0.7871072
33	1	-127.3584	-136.2653	8.906976	0.02848733	0.04457987	0.04109742	0.04246311	0.0353858	0.0353858	0.0353858	0.0353858	0.0353858	0.0353858	0.0353858	0.0353858	0.0353858	0.0353858	0.0353858	0.0353858	0.0353858	0.0353858	0.0353858	0.0353858	0.0353858	0.0353858	0.0353858	0.0353858	0.0353858	0.0353858	0.0353858	0.0353858	0.0353858	0.0353858	0.09012107	0.0410974	0.0284873	0.0445799	0.1141646	0.3099537
34	0	-131.6915	-136.9105	5.218996	0.01466939	0.1292213	0.02448917	0.02638012	0.114547	0.114547	0.114547	0.114547	0.114547	0.114547	0.114547	0.114547	0.114547	0.114547	0.114547	0.114547	0.114547	0.114547	0.114547	0.114547	0.114547	0.114547	0.114547	0.114547	0.114547	0.114547	0.114547	0.114547	0.114547	0.114547	0.1664933	0.0244892	0.0146694	0.129221	0.1683799	0.6802867
35	1	-127.0561	-136.684	9.627952	0.02848733	0.04457987	0.03425022	0.03418886	0.0472015	0.0472015	0.0472015	0.0472015	0.0472015	0.0472015	0.0472015	0.0472015	0.0472015	0.0472015	0.0472015	0.0472015	0.0472015	0.0472015	0.0472015	0.0472015	0.0472015	0.0472015	0.0472015	0.0472015	0.0472015	0.0472015	0.0472015	0.0472015	0.0472015	0.0472015	0.06526135	0.0342502	0.0284873	0.0445799	0.1073174	0.4398304
36	0	-132.3002	-135.8728	3.572549	0.1140168	0.0946363	0.007060231	0.01997797	0.144956	0.144956	0.144956	0.144956	0.144956	0.144956	0.144956	0.144956	0.144956	0.144956	0.144956	0.144956	0.144956	0.144956	0.144956	0.144956	0.144956	0.144956	0.144956	0.144956	0.144956	0.144956	0.144956	0.144956	0.144956	0.144956	0.06819217	0.00706023	0.114017	0.0946363	0.2157133	0.671986
37	1	-129.8802	-136.5038	6.623538	0.03227861	0.06906181	0.04666374	0.09442674	0.0719119	0.0719119	0.0719119	0.0719119	0.0719119	0.0719119	0.0719119	0.0719119	0.0719119	0.0719119	0.0719119	0.0719119	0.0719119	0.0719119	0.0719119	0.0719119	0.0719119	0.0719119	0.0719119	0.0719119	0.0719119	0.0719119	0.0719119	0.0719119	0.0719119	0.0719119	0.07393935	0.0466637	0.0322786	0.0690618	0.1480042	0.4858772
38	0	-128.1905	-136.7984	8.607937	0.03024212	0.07928555	0.01703828	0.02606288	0.0683483	0.0683483	0.0683483	0.0683483	0.0683483	0.0683483	0.0683483	0.0683483	0.0683483	0.0683483	0.0683483	0.0683483	0.0683483	0.0683483	0.0683483	0.0683483	0.0683483	0.0683483	0.0683483	0.0683483	0.0683483	0.0683483	0.0683483	0.0683483	0.0683483	0.0683483	0.06585621	0.0170383	0.0302421	0.0792856	0.126566	0.5400211
