Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	total_speciation	turnover
26	2	-154.5483	-159.3587	4.810424	0.0784316	0.01352014	0.0311476	0.0311476	0.0311476	0.0311476	0.0311476	0.0311476	0.0311476	0.0311476	0.0311476	0.0311476	0.0311476	0.0311476	0.0311476	0.0311476	0.0311476	0.0311476	0.0311476	0.0311476	0.0311476	0.0311476	0.0311476	0.003279812	0.0784316	0.0784316	0.3971311
27	3	-157.7006	-161.5328	3.832121	0.09183035	0.03515832	0.0325458	0.0325458	0.0325458	0.0325458	0.0325458	0.0325458	0.0325458	0.0325458	0.0325458	0.0325458	0.0325458	0.0325458	0.0325458	0.0325458	0.0325458	0.0325458	0.0325458	0.0325458	0.0325458	0.0325458	0.0325458	0.02148416	0.0918303	0.09183035	0.3544125
28	0	-153.5988	-157.9336	4.334888	0.08778054	0.02187362	0.0334917	0.0334917	0.0334917	0.0334917	0.0334917	0.0334917	0.0334917	0.0334917	0.0334917	0.0334917	0.0334917	0.0334917	0.0334917	0.0334917	0.0334917	0.0334917	0.0334917	0.0334917	0.0334917	0.0334917	0.0334917	0.002019166	0.0877805	0.08778054	0.3815389
29	1	-155.4166	-160.681	5.264426	0.06396699	0.01844733	0.00233202	0.00233202	0.00233202	0.00233202	0.00233202	0.00233202	0.00233202	0.00233202	0.00233202	0.00233202	0.00233202	0.00233202	0.00233202	0.00233202	0.00233202	0.00233202	0.00233202	0.00233202	0.00233202	0.00233202	0.00233202	0.01555315	0.063967	0.06396699	0.03645669
30	2	-154.5657	-159.7029	5.137156	0.06677959	0.02954105	0.00745094	0.00745094	0.00745094	0.00745094	0.00745094	0.00745094	0.00745094	0.00745094	0.00745094	0.00745094	0.00745094	0.00745094	0.00745094	0.00745094	0.00745094	0.00745094	0.00745094	0.00745094	0.00745094	0.00745094	0.00745094	0.005013895	0.0667796	0.06677959	0.111575
31	3	-156.2746	-161.6776	5.402954	0.05868158	0.01797556	0.0038884	0.0038884	0.0038884	0.0038884	0.0038884	0.0038884	0.0038884	0.0038884	0.0038884	0.0038884	0.0038884	0.0038884	0.0038884	0.0038884	0.0038884	0.0038884	0.0038884	0.0038884	0.0038884	0.0038884	0.0038884	0.02504661	0.0586816	0.05868158	0.06626267
32	0	-153.6089	-158.0016	4.392689	0.08778054	0.01728998	0.0334537	0.0334537	0.0334537	0.0334537	0.0334537	0.0334537	0.0334537	0.0334537	0.0334537	0.0334537	0.0334537	0.0334537	0.0334537	0.0334537	0.0334537	0.0334537	0.0334537	0.0334537	0.0334537	0.0334537	0.0334537	0.0008227151	0.0877805	0.08778054	0.3811061
33	1	-154.5228	-159.8891	5.366279	0.06396699	0.01693887	0.00166329	0.00166329	0.00166329	0.00166329	0.00166329	0.00166329	0.00166329	0.00166329	0.00166329	0.00166329	0.00166329	0.00166329	0.00166329	0.00166329	0.00166329	0.00166329	0.00166329	0.00166329	0.00166329	0.00166329	0.00166329	0.006876256	0.063967	0.06396699	0.02600231
34	2	-153.86	-159.2571	5.39709	0.06304517	0.02087411	0.00510589	0.00510589	0.00510589	0.00510589	0.00510589	0.00510589	0.00510589	0.00510589	0.00510589	0.00510589	0.00510589	0.00510589	0.00510589	0.00510589	0.00510589	0.00510589	0.00510589	0.00510589	0.00510589	0.00510589	0.00510589	0.003849433	0.0630452	0.06304517	0.08098784
35	3	-156.5199	-161.6434	5.123541	0.06535717	0.01300941	0.0127526	0.0127526	0.0127526	0.0127526	0.0127526	0.0127526	0.0127526	0.0127526	0.0127526	0.0127526	0.0127526	0.0127526	0.0127526	0.0127526	0.0127526	0.0127526	0.0127526	0.0127526	0.0127526	0.0127526	0.0127526	0.02906299	0.0653572	0.06535717	0.195121
36	0	-156.217	-160.5255	4.308543	0.08778054	0.02597746	0.0173075	0.0173075	0.0173075	0.0173075	0.0173075	0.0173075	0.0173075	0.0173075	0.0173075	0.0173075	0.0173075	0.0173075	0.0173075	0.0173075	0.0173075	0.0173075	0.0173075	0.0173075	0.0173075	0.0173075	0.0173075	0.0005497949	0.0877805	0.08778054	0.1971679
37	1	-156.1742	-160.5813	4.407032	0.08233206	0.0319288	0.0185258	0.0185258	0.0185258	0.0185258	0.0185258	0.0185258	0.0185258	0.0185258	0.0185258	0.0185258	0.0185258	0.0185258	0.0185258	0.0185258	0.0185258	0.0185258	0.0185258	0.0185258	0.0185258	0.0185258	0.0185258	0.008329814	0.0823321	0.08233206	0.225013
38	2	-155.492	-161.2378	5.745853	0.05267362	0.02685138	0.0031062	0.0031062	0.0031062	0.0031062	0.0031062	0.0031062	0.0031062	0.0031062	0.0031062	0.0031062	0.0031062	0.0031062	0.0031062	0.0031062	0.0031062	0.0031062	0.0031062	0.0031062	0.0031062	0.0031062	0.0031062	0.00788242	0.0526736	0.05267362	0.05897061
39	3	-159.7272	-164.6357	4.908494	0.06361397	0.04870377	0.0203362	0.0203362	0.0203362	0.0203362	0.0203362	0.0203362	0.0203362	0.0203362	0.0203362	0.0203362	0.0203362	0.0203362	0.0203362	0.0203362	0.0203362	0.0203362	0.0203362	0.0203362	0.0203362	0.0203362	0.0203362	0.02241769	0.063614	0.06361397	0.3196812
40	0	-155.0103	-158.3539	3.343571	0.1075646	0.03711412	0.0561163	0.0561163	0.0561163	0.0561163	0.0561163	0.0561163	0.0561163	0.0561163	0.0561163	0.0561163	0.0561163	0.0561163	0.0561163	0.0561163	0.0561163	0.0561163	0.0561163	0.0561163	0.0561163	0.0561163	0.0561163	0.0002878217	0.107565	0.1075646	0.5216983
41	1	-156.2664	-160.5544	4.288062	0.08233206	0.04984813	0.0294623	0.0294623	0.0294623	0.0294623	0.0294623	0.0294623	0.0294623	0.0294623	0.0294623	0.0294623	0.0294623	0.0294623	0.0294623	0.0294623	0.0294623	0.0294623	0.0294623	0.0294623	0.0294623	0.0294623	0.0294623	0.002307472	0.0823321	0.08233206	0.3578467
42	2	-156.299	-162.1923	5.893339	0.05313898	0.00785695	0.00134291	0.00134291	0.00134291	0.00134291	0.00134291	0.00134291	0.00134291	0.00134291	0.00134291	0.00134291	0.00134291	0.00134291	0.00134291	0.00134291	0.00134291	0.00134291	0.00134291	0.00134291	0.00134291	0.00134291	0.00134291	0.01011422	0.053139	0.05313898	0.0252717
43	3	-159.6428	-163.7454	4.102677	0.08041908	0.0587997	0.0361522	0.0361522	0.0361522	0.0361522	0.0361522	0.0361522	0.0361522	0.0361522	0.0361522	0.0361522	0.0361522	0.0361522	0.0361522	0.0361522	0.0361522	0.0361522	0.0361522	0.0361522	0.0361522	0.0361522	0.0361522	0.02017346	0.0804191	0.08041908	0.449548
44	0	-154.1422	-157.911	3.768819	0.1008209	0.02372687	0.060391	0.060391	0.060391	0.060391	0.060391	0.060391	0.060391	0.060391	0.060391	0.060391	0.060391	0.060391	0.060391	0.060391	0.060391	0.060391	0.060391	0.060391	0.060391	0.060391	0.060391	0.0003359862	0.100821	0.1008209	0.5989931
45	1	-153.6303	-158.4082	4.777939	0.0771703	0.02472466	0.0301714	0.0301714	0.0301714	0.0301714	0.0301714	0.0301714	0.0301714	0.0301714	0.0301714	0.0301714	0.0301714	0.0301714	0.0301714	0.0301714	0.0301714	0.0301714	0.0301714	0.0301714	0.0301714	0.0301714	0.0301714	0.0007824927	0.0771703	0.0771703	0.3909719
46	2	-155.5132	-160.5792	5.066045	0.07294174	0.008980332	0.0144173	0.0144173	0.0144173	0.0144173	0.0144173	0.0144173	0.0144173	0.0144173	0.0144173	0.0144173	0.0144173	0.0144173	0.0144173	0.0144173	0.0144173	0.0144173	0.0144173	0.0144173	0.0144173	0.0144173	0.0144173	0.006016788	0.0729417	0.07294174	0.1976552
