Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	total_speciation	turnover
29	1	-56.38921	-60.41313	4.023919	0.1157499	0.004207335	0.0697895	0.0697895	0.0697895	0.0697895	0.0697895	0.0697895	0.0697895	0.0697895	0.0697895	0.0697895	0.0697895	0.0697895	0.0697895	0.0697895	0.0697895	0.0697895	0.0697895	0.0697895	0.0697895	0.0697895	0.0697895	0.004941843	0.11575	0.1157499	0.6029336
30	0	-56.8112	-60.621	3.809797	0.1173549	0.01249917	0.00964214	0.00964214	0.00964214	0.00964214	0.00964214	0.00964214	0.00964214	0.00964214	0.00964214	0.00964214	0.00964214	0.00964214	0.00964214	0.00964214	0.00964214	0.00964214	0.00964214	0.00964214	0.00964214	0.00964214	0.00964214	0.01245599	0.117355	0.1173549	0.08216223
31	1	-54.59197	-58.49365	3.901674	0.117829	0.006840423	0.045931	0.045931	0.045931	0.045931	0.045931	0.045931	0.045931	0.045931	0.045931	0.045931	0.045931	0.045931	0.045931	0.045931	0.045931	0.045931	0.045931	0.045931	0.045931	0.045931	0.045931	0.007270714	0.117829	0.117829	0.3898109
32	0	-54.8425	-58.75427	3.911761	0.1173549	0.008569265	0.00721661	0.00721661	0.00721661	0.00721661	0.00721661	0.00721661	0.00721661	0.00721661	0.00721661	0.00721661	0.00721661	0.00721661	0.00721661	0.00721661	0.00721661	0.00721661	0.00721661	0.00721661	0.00721661	0.00721661	0.00721661	0.006189537	0.117355	0.1173549	0.06149388
33	1	-54.44563	-57.81133	3.365699	0.1336241	0.008256601	0.0387215	0.0387215	0.0387215	0.0387215	0.0387215	0.0387215	0.0387215	0.0387215	0.0387215	0.0387215	0.0387215	0.0387215	0.0387215	0.0387215	0.0387215	0.0387215	0.0387215	0.0387215	0.0387215	0.0387215	0.0387215	0.004280422	0.133624	0.1336241	0.289779
34	0	-54.28648	-58.19166	3.905179	0.1173549	0.008551074	0.0316076	0.0316076	0.0316076	0.0316076	0.0316076	0.0316076	0.0316076	0.0316076	0.0316076	0.0316076	0.0316076	0.0316076	0.0316076	0.0316076	0.0316076	0.0316076	0.0316076	0.0316076	0.0316076	0.0316076	0.0316076	0.006865861	0.117355	0.1173549	0.2693333
35	1	-56.10294	-59.38728	3.284341	0.1336241	0.0133149	0.0407609	0.0407609	0.0407609	0.0407609	0.0407609	0.0407609	0.0407609	0.0407609	0.0407609	0.0407609	0.0407609	0.0407609	0.0407609	0.0407609	0.0407609	0.0407609	0.0407609	0.0407609	0.0407609	0.0407609	0.0407609	0.007357915	0.133624	0.1336241	0.3050412
36	0	-51.98535	-57.00282	5.017474	0.08798495	0.002137678	0.00616107	0.00616107	0.00616107	0.00616107	0.00616107	0.00616107	0.00616107	0.00616107	0.00616107	0.00616107	0.00616107	0.00616107	0.00616107	0.00616107	0.00616107	0.00616107	0.00616107	0.00616107	0.00616107	0.00616107	0.00616107	0.004637676	0.0879849	0.08798495	0.0700241
37	1	-53.91743	-57.74234	3.82491	0.1221138	0.003143888	0.0594248	0.0594248	0.0594248	0.0594248	0.0594248	0.0594248	0.0594248	0.0594248	0.0594248	0.0594248	0.0594248	0.0594248	0.0594248	0.0594248	0.0594248	0.0594248	0.0594248	0.0594248	0.0594248	0.0594248	0.0594248	0.003677316	0.122114	0.1221138	0.4866349
38	0	-53.68231	-58.11725	4.434939	0.1031498	0.003620265	0.020202	0.020202	0.020202	0.020202	0.020202	0.020202	0.020202	0.020202	0.020202	0.020202	0.020202	0.020202	0.020202	0.020202	0.020202	0.020202	0.020202	0.020202	0.020202	0.020202	0.020202	0.008438374	0.10315	0.1031498	0.1958507
39	1	-59.66491	-64.41986	4.754956	0.08345037	0.002392856	0.00979717	0.00979717	0.00979717	0.00979717	0.00979717	0.00979717	0.00979717	0.00979717	0.00979717	0.00979717	0.00979717	0.00979717	0.00979717	0.00979717	0.00979717	0.00979717	0.00979717	0.00979717	0.00979717	0.00979717	0.00979717	0.04647337	0.0834504	0.08345037	0.1174012
40	0	-56.01459	-60.57313	4.558538	0.09708254	0.003920641	0.0186757	0.0186757	0.0186757	0.0186757	0.0186757	0.0186757	0.0186757	0.0186757	0.0186757	0.0186757	0.0186757	0.0186757	0.0186757	0.0186757	0.0186757	0.0186757	0.0186757	0.0186757	0.0186757	0.0186757	0.0186757	0.01697076	0.0970825	0.09708254	0.1923692
41	1	-61.19004	-65.9557	4.765656	0.07854184	0.003187963	0.00670452	0.00670452	0.00670452	0.00670452	0.00670452	0.00670452	0.00670452	0.00670452	0.00670452	0.00670452	0.00670452	0.00670452	0.00670452	0.00670452	0.00670452	0.00670452	0.00670452	0.00670452	0.00670452	0.00670452	0.00670452	0.06175352	0.0785418	0.07854184	0.08536246
42	0	-55.65127	-60.26078	4.609508	0.09708254	0.004526921	0.0339805	0.0339805	0.0339805	0.0339805	0.0339805	0.0339805	0.0339805	0.0339805	0.0339805	0.0339805	0.0339805	0.0339805	0.0339805	0.0339805	0.0339805	0.0339805	0.0339805	0.0339805	0.0339805	0.0339805	0.0339805	0.01126746	0.0970825	0.09708254	0.3500167
43	1	-57.62923	-62.76071	5.131485	0.07854184	0.004477993	0.0103465	0.0103465	0.0103465	0.0103465	0.0103465	0.0103465	0.0103465	0.0103465	0.0103465	0.0103465	0.0103465	0.0103465	0.0103465	0.0103465	0.0103465	0.0103465	0.0103465	0.0103465	0.0103465	0.0103465	0.0103465	0.02388064	0.0785418	0.07854184	0.1317327
44	0	-51.18072	-55.88906	4.708349	0.09708254	0.00444555	0.0118703	0.0118703	0.0118703	0.0118703	0.0118703	0.0118703	0.0118703	0.0118703	0.0118703	0.0118703	0.0118703	0.0118703	0.0118703	0.0118703	0.0118703	0.0118703	0.0118703	0.0118703	0.0118703	0.0118703	0.0118703	0.001464798	0.0970825	0.09708254	0.1222703
45	1	-52.88144	-58.18575	5.304312	0.07854184	0.00487069	0.00610049	0.00610049	0.00610049	0.00610049	0.00610049	0.00610049	0.00610049	0.00610049	0.00610049	0.00610049	0.00610049	0.00610049	0.00610049	0.00610049	0.00610049	0.00610049	0.00610049	0.00610049	0.00610049	0.00610049	0.00610049	0.006205166	0.0785418	0.07854184	0.07767185
46	0	-51.76214	-56.45799	4.695847	0.09708254	0.00338115	0.00409368	0.00409368	0.00409368	0.00409368	0.00409368	0.00409368	0.00409368	0.00409368	0.00409368	0.00409368	0.00409368	0.00409368	0.00409368	0.00409368	0.00409368	0.00409368	0.00409368	0.00409368	0.00409368	0.00409368	0.00409368	0.003779398	0.0970825	0.09708254	0.04216699
47	1	-53.20757	-58.49277	5.285202	0.07854184	0.01128693	0.0104485	0.0104485	0.0104485	0.0104485	0.0104485	0.0104485	0.0104485	0.0104485	0.0104485	0.0104485	0.0104485	0.0104485	0.0104485	0.0104485	0.0104485	0.0104485	0.0104485	0.0104485	0.0104485	0.0104485	0.0104485	0.001699939	0.0785418	0.07854184	0.1330316
48	0	-54.24942	-59.5253	5.275878	0.07686844	0.0167182	0.00319795	0.00319795	0.00319795	0.00319795	0.00319795	0.00319795	0.00319795	0.00319795	0.00319795	0.00319795	0.00319795	0.00319795	0.00319795	0.00319795	0.00319795	0.00319795	0.00319795	0.00319795	0.00319795	0.00319795	0.00319795	0.003046197	0.0768684	0.07686844	0.04160292
49	1	-51.96344	-56.38863	4.425187	0.1055763	0.001700801	0.0106003	0.0106003	0.0106003	0.0106003	0.0106003	0.0106003	0.0106003	0.0106003	0.0106003	0.0106003	0.0106003	0.0106003	0.0106003	0.0106003	0.0106003	0.0106003	0.0106003	0.0106003	0.0106003	0.0106003	0.0106003	0.002857308	0.105576	0.1055763	0.1004045
50	0	-53.35902	-57.68651	4.327495	0.1055478	0.01103229	0.0196933	0.0196933	0.0196933	0.0196933	0.0196933	0.0196933	0.0196933	0.0196933	0.0196933	0.0196933	0.0196933	0.0196933	0.0196933	0.0196933	0.0196933	0.0196933	0.0196933	0.0196933	0.0196933	0.0196933	0.0196933	0.003394622	0.105548	0.1055478	0.1865816
51	1	-52.52255	-56.8927	4.370149	0.1055763	0.008228655	0.00240005	0.00240005	0.00240005	0.00240005	0.00240005	0.00240005	0.00240005	0.00240005	0.00240005	0.00240005	0.00240005	0.00240005	0.00240005	0.00240005	0.00240005	0.00240005	0.00240005	0.00240005	0.00240005	0.00240005	0.00240005	0.001833218	0.105576	0.1055763	0.02273284
52	0	-52.07997	-56.5135	4.433539	0.1055478	0.00118259	0.0199485	0.0199485	0.0199485	0.0199485	0.0199485	0.0199485	0.0199485	0.0199485	0.0199485	0.0199485	0.0199485	0.0199485	0.0199485	0.0199485	0.0199485	0.0199485	0.0199485	0.0199485	0.0199485	0.0199485	0.0199485	0.002639887	0.105548	0.1055478	0.1889997
53	1	-52.50814	-56.72977	4.221637	0.1114423	0.00237224	0.0420973	0.0420973	0.0420973	0.0420973	0.0420973	0.0420973	0.0420973	0.0420973	0.0420973	0.0420973	0.0420973	0.0420973	0.0420973	0.0420973	0.0420973	0.0420973	0.0420973	0.0420973	0.0420973	0.0420973	0.0420973	0.002051177	0.111442	0.1114423	0.3777494
54	0	-54.58021	-58.96425	4.384042	0.1055478	0.00112709	0.0353524	0.0353524	0.0353524	0.0353524	0.0353524	0.0353524	0.0353524	0.0353524	0.0353524	0.0353524	0.0353524	0.0353524	0.0353524	0.0353524	0.0353524	0.0353524	0.0353524	0.0353524	0.0353524	0.0353524	0.0353524	0.007645088	0.105548	0.1055478	0.3349417
55	1	-51.88587	-56.10663	4.220753	0.1114423	0.003086212	0.00834728	0.00834728	0.00834728	0.00834728	0.00834728	0.00834728	0.00834728	0.00834728	0.00834728	0.00834728	0.00834728	0.00834728	0.00834728	0.00834728	0.00834728	0.00834728	0.00834728	0.00834728	0.00834728	0.00834728	0.00834728	0.001425569	0.111442	0.1114423	0.07490225
56	0	-53.86654	-58.19989	4.333349	0.1055478	0.005430265	0.00600374	0.00600374	0.00600374	0.00600374	0.00600374	0.00600374	0.00600374	0.00600374	0.00600374	0.00600374	0.00600374	0.00600374	0.00600374	0.00600374	0.00600374	0.00600374	0.00600374	0.00600374	0.00600374	0.00600374	0.00600374	0.008411264	0.105548	0.1055478	0.05688169
57	1	-52.76327	-56.92706	4.163787	0.1114423	0.00716632	0.0281115	0.0281115	0.0281115	0.0281115	0.0281115	0.0281115	0.0281115	0.0281115	0.0281115	0.0281115	0.0281115	0.0281115	0.0281115	0.0281115	0.0281115	0.0281115	0.0281115	0.0281115	0.0281115	0.0281115	0.0281115	0.003042068	0.111442	0.1114423	0.2522511
58	0	-53.64509	-57.99902	4.353928	0.1055478	0.004265572	0.00203759	0.00203759	0.00203759	0.00203759	0.00203759	0.00203759	0.00203759	0.00203759	0.00203759	0.00203759	0.00203759	0.00203759	0.00203759	0.00203759	0.00203759	0.00203759	0.00203759	0.00203759	0.00203759	0.00203759	0.00203759	0.007518077	0.105548	0.1055478	0.01930495
59	1	-52.98424	-57.67576	4.691515	0.09646257	0.002373972	0.00128413	0.00128413	0.00128413	0.00128413	0.00128413	0.00128413	0.00128413	0.00128413	0.00128413	0.00128413	0.00128413	0.00128413	0.00128413	0.00128413	0.00128413	0.00128413	0.00128413	0.00128413	0.00128413	0.00128413	0.00128413	0.007385212	0.0964626	0.09646257	0.01331225
60	0	-54.89319	-59.87001	4.976818	0.08671164	0.001914128	0.00699323	0.00699323	0.00699323	0.00699323	0.00699323	0.00699323	0.00699323	0.00699323	0.00699323	0.00699323	0.00699323	0.00699323	0.00699323	0.00699323	0.00699323	0.00699323	0.00699323	0.00699323	0.00699323	0.00699323	0.00699323	0.01337441	0.0867116	0.08671164	0.08064931
61	1	-55.04302	-60.26353	5.220508	0.07924777	0.002223669	0.00057887	0.00057887	0.00057887	0.00057887	0.00057887	0.00057887	0.00057887	0.00057887	0.00057887	0.00057887	0.00057887	0.00057887	0.00057887	0.00057887	0.00057887	0.00057887	0.00057887	0.00057887	0.00057887	0.00057887	0.00057887	0.01476687	0.0792478	0.07924777	0.007304564
62	0	-53.56798	-59.03583	5.467847	0.07503041	0.001083658	0.00772396	0.00772396	0.00772396	0.00772396	0.00772396	0.00772396	0.00772396	0.00772396	0.00772396	0.00772396	0.00772396	0.00772396	0.00772396	0.00772396	0.00772396	0.00772396	0.00772396	0.00772396	0.00772396	0.00772396	0.00772396	0.005903979	0.0750304	0.07503041	0.1029444
63	1	-54.57915	-58.85212	4.272975	0.1086446	0.001465793	0.039608	0.039608	0.039608	0.039608	0.039608	0.039608	0.039608	0.039608	0.039608	0.039608	0.039608	0.039608	0.039608	0.039608	0.039608	0.039608	0.039608	0.039608	0.039608	0.039608	0.039608	0.007596078	0.108645	0.1086446	0.3645646
64	0	-53.6535	-59.14148	5.487985	0.07204985	0.01165871	0.00356372	0.00356372	0.00356372	0.00356372	0.00356372	0.00356372	0.00356372	0.00356372	0.00356372	0.00356372	0.00356372	0.00356372	0.00356372	0.00356372	0.00356372	0.00356372	0.00356372	0.00356372	0.00356372	0.00356372	0.00356372	0.003726123	0.0720499	0.07204985	0.04946184
65	1	-55.36401	-59.94731	4.583294	0.09780522	0.003593899	0.0281364	0.0281364	0.0281364	0.0281364	0.0281364	0.0281364	0.0281364	0.0281364	0.0281364	0.0281364	0.0281364	0.0281364	0.0281364	0.0281364	0.0281364	0.0281364	0.0281364	0.0281364	0.0281364	0.0281364	0.0281364	0.01229761	0.0978052	0.09780522	0.2876777
66	0	-55.80159	-61.20692	5.405325	0.07195806	0.01441463	0.00627629	0.00627629	0.00627629	0.00627629	0.00627629	0.00627629	0.00627629	0.00627629	0.00627629	0.00627629	0.00627629	0.00627629	0.00627629	0.00627629	0.00627629	0.00627629	0.00627629	0.00627629	0.00627629	0.00627629	0.00627629	0.009556826	0.0719581	0.07195806	0.08722145
