Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	gamma	speciation_rates[1]	total_speciation	turnover
25	1	-31.85148	-35.53499	3.683511	0.03816383	0.1727877	0.00542766	0.00542766	0.00542766	0.00542766	0.00542766	0.00542766	0.00542766	0.00542766	0.00542766	0.00542766	0.00542766	0.00542766	0.00542766	0.00542766	0.00542766	0.00542766	0.00542766	0.00542766	0.00542766	0.00542766	0.00542766	0.00542766	0.00542766	0.1184799	0.0381638	0.03816383	0.1422201
26	0	-32.63721	-36.0713	3.434086	0.06741385	0.04053297	0.0113111	0.0113111	0.0113111	0.0113111	0.0113111	0.0113111	0.0113111	0.0113111	0.0113111	0.0113111	0.0113111	0.0113111	0.0113111	0.0113111	0.0113111	0.0113111	0.0113111	0.0113111	0.0113111	0.0113111	0.0113111	0.0113111	0.0113111	0.127379	0.0674139	0.06741385	0.1677853
27	1	-32.66376	-36.48533	3.82157	0.06241696	0.03679685	0.0223725	0.0223725	0.0223725	0.0223725	0.0223725	0.0223725	0.0223725	0.0223725	0.0223725	0.0223725	0.0223725	0.0223725	0.0223725	0.0223725	0.0223725	0.0223725	0.0223725	0.0223725	0.0223725	0.0223725	0.0223725	0.0223725	0.0223725	0.1177011	0.062417	0.06241696	0.3584359
28	0	-35.11757	-39.91803	4.800456	0.03782942	0.03274168	0.0233627	0.0233627	0.0233627	0.0233627	0.0233627	0.0233627	0.0233627	0.0233627	0.0233627	0.0233627	0.0233627	0.0233627	0.0233627	0.0233627	0.0233627	0.0233627	0.0233627	0.0233627	0.0233627	0.0233627	0.0233627	0.0233627	0.0233627	0.1485269	0.0378294	0.03782942	0.6175795
29	1	-31.20576	-34.93454	3.728784	0.04998765	0.07342427	0.00207591	0.00207591	0.00207591	0.00207591	0.00207591	0.00207591	0.00207591	0.00207591	0.00207591	0.00207591	0.00207591	0.00207591	0.00207591	0.00207591	0.00207591	0.00207591	0.00207591	0.00207591	0.00207591	0.00207591	0.00207591	0.00207591	0.00207591	0.1533691	0.0499877	0.04998765	0.04152847
30	0	-33.33435	-37.00062	3.66627	0.06116996	0.0265299	0.0215034	0.0215034	0.0215034	0.0215034	0.0215034	0.0215034	0.0215034	0.0215034	0.0215034	0.0215034	0.0215034	0.0215034	0.0215034	0.0215034	0.0215034	0.0215034	0.0215034	0.0215034	0.0215034	0.0215034	0.0215034	0.0215034	0.0215034	0.1498203	0.06117	0.06116996	0.3515348
31	1	-32.56924	-36.41137	3.842135	0.03752274	0.1420683	0.0108142	0.0108142	0.0108142	0.0108142	0.0108142	0.0108142	0.0108142	0.0108142	0.0108142	0.0108142	0.0108142	0.0108142	0.0108142	0.0108142	0.0108142	0.0108142	0.0108142	0.0108142	0.0108142	0.0108142	0.0108142	0.0108142	0.0108142	0.1365872	0.0375227	0.03752274	0.2882027
32	0	-31.71818	-35.392	3.673826	0.05216478	0.06584377	0.010254	0.010254	0.010254	0.010254	0.010254	0.010254	0.010254	0.010254	0.010254	0.010254	0.010254	0.010254	0.010254	0.010254	0.010254	0.010254	0.010254	0.010254	0.010254	0.010254	0.010254	0.010254	0.010254	0.1554073	0.0521648	0.05216478	0.1965698
33	1	-33.83526	-38.15446	4.319205	0.03899687	0.1347414	0.0225613	0.0225613	0.0225613	0.0225613	0.0225613	0.0225613	0.0225613	0.0225613	0.0225613	0.0225613	0.0225613	0.0225613	0.0225613	0.0225613	0.0225613	0.0225613	0.0225613	0.0225613	0.0225613	0.0225613	0.0225613	0.0225613	0.0225613	0.08873329	0.0389969	0.03899687	0.5785411
34	0	-32.01876	-35.3277	3.308945	0.06745895	0.1123846	0.00886271	0.00886271	0.00886271	0.00886271	0.00886271	0.00886271	0.00886271	0.00886271	0.00886271	0.00886271	0.00886271	0.00886271	0.00886271	0.00886271	0.00886271	0.00886271	0.00886271	0.00886271	0.00886271	0.00886271	0.00886271	0.00886271	0.00886271	0.06781288	0.067459	0.06745895	0.1313793
