Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
25	1	-92.35354	-102.769	10.41545	0.006266469	0.003566328	0.1300574	0.00796065	0.0184105	0.0184105	0.0184105	0.0184105	0.0184105	0.0184105	0.0184105	0.0184105	0.0184105	0.0184105	0.0184105	0.0184105	0.0184105	0.0184105	0.0184105	0.0184105	0.0184105	0.0184105	0.0184105	0.0184105	0.0184105	0.0184105	0.0184105	0.001199825	0.130057	0.00626647	0.00356633	0.1398902	0.1316065
26	0	-93.02883	-103.6589	10.63009	0.001671682	0.006957038	0.1141283	0.001155416	0.0165423	0.0165423	0.0165423	0.0165423	0.0165423	0.0165423	0.0165423	0.0165423	0.0165423	0.0165423	0.0165423	0.0165423	0.0165423	0.0165423	0.0165423	0.0165423	0.0165423	0.0165423	0.0165423	0.0165423	0.0165423	0.0165423	0.0165423	0.009310296	0.114128	0.00167168	0.00695704	0.122757	0.1347565
27	1	-94.85853	-105.3696	10.51109	0.008051525	0.002375144	0.1202836	0.006524488	0.0353408	0.0353408	0.0353408	0.0353408	0.0353408	0.0353408	0.0353408	0.0353408	0.0353408	0.0353408	0.0353408	0.0353408	0.0353408	0.0353408	0.0353408	0.0353408	0.0353408	0.0353408	0.0353408	0.0353408	0.0353408	0.0353408	0.0353408	0.005271748	0.120284	0.00805152	0.00237514	0.1307102	0.2703752
28	0	-93.26702	-103.9001	10.63312	0.0008099663	0.005490529	0.1141283	0.003700805	0.0180889	0.0180889	0.0180889	0.0180889	0.0180889	0.0180889	0.0180889	0.0180889	0.0180889	0.0180889	0.0180889	0.0180889	0.0180889	0.0180889	0.0180889	0.0180889	0.0180889	0.0180889	0.0180889	0.0180889	0.0180889	0.0180889	0.0180889	0.009556488	0.114128	0.000809966	0.00549053	0.1204288	0.1502042
29	1	-91.38149	-101.2564	9.874935	0.0004747974	0.002737804	0.1784434	0.004033882	0.0679416	0.0679416	0.0679416	0.0679416	0.0679416	0.0679416	0.0679416	0.0679416	0.0679416	0.0679416	0.0679416	0.0679416	0.0679416	0.0679416	0.0679416	0.0679416	0.0679416	0.0679416	0.0679416	0.0679416	0.0679416	0.0679416	0.0679416	0.003671713	0.178443	0.000474797	0.0027378	0.181656	0.3740125
30	0	-91.31502	-102.0477	10.73264	0.001658087	0.003542398	0.1141283	0.002312348	0.0197798	0.0197798	0.0197798	0.0197798	0.0197798	0.0197798	0.0197798	0.0197798	0.0197798	0.0197798	0.0197798	0.0197798	0.0197798	0.0197798	0.0197798	0.0197798	0.0197798	0.0197798	0.0197798	0.0197798	0.0197798	0.0197798	0.0197798	0.00245493	0.114128	0.00165809	0.0035424	0.1193288	0.165759
31	1	-91.4216	-101.6519	10.23027	0.001171803	0.004419672	0.1496875	0.002712169	0.0464535	0.0464535	0.0464535	0.0464535	0.0464535	0.0464535	0.0464535	0.0464535	0.0464535	0.0464535	0.0464535	0.0464535	0.0464535	0.0464535	0.0464535	0.0464535	0.0464535	0.0464535	0.0464535	0.0464535	0.0464535	0.0464535	0.0464535	0.004514589	0.149688	0.0011718	0.00441967	0.155279	0.2991612
32	0	-90.21575	-100.7833	10.5675	0.001202698	0.004020227	0.1258987	0.004819403	0.0166976	0.0166976	0.0166976	0.0166976	0.0166976	0.0166976	0.0166976	0.0166976	0.0166976	0.0166976	0.0166976	0.0166976	0.0166976	0.0166976	0.0166976	0.0166976	0.0166976	0.0166976	0.0166976	0.0166976	0.0166976	0.0166976	0.0166976	0.0007886324	0.125899	0.0012027	0.00402023	0.1311216	0.1273447
33	1	-93.37932	-103.3976	10.01827	0.00110448	0.007853795	0.1589384	0.002069926	0.0467721	0.0467721	0.0467721	0.0467721	0.0467721	0.0467721	0.0467721	0.0467721	0.0467721	0.0467721	0.0467721	0.0467721	0.0467721	0.0467721	0.0467721	0.0467721	0.0467721	0.0467721	0.0467721	0.0467721	0.0467721	0.0467721	0.0467721	0.009588093	0.158938	0.00110448	0.0078538	0.1678967	0.2785765
34	0	-92.279	-102.6821	10.4031	0.008238476	0.002051526	0.1341032	0.003735477	0.027328	0.027328	0.027328	0.027328	0.027328	0.027328	0.027328	0.027328	0.027328	0.027328	0.027328	0.027328	0.027328	0.027328	0.027328	0.027328	0.027328	0.027328	0.027328	0.027328	0.027328	0.027328	0.027328	0.0006753731	0.134103	0.00823848	0.00205153	0.1443932	0.189261
