Iteration	Replicate_ID	Posterior	Likelihood	Prior	delta	gamma
132	0	-11.81214	-16.11936	4.307215	0.0105378	0.0192577
133	1	-13.13766	-16.32731	3.189646	0.04413809	0.09741437
134	0	-12.50554	-16.86374	4.358205	0.006587248	0.01810926
135	1	-11.50064	-15.65095	4.150307	0.009109845	0.03637646
136	0	-11.31167	-15.35929	4.047614	0.02178538	0.0339702
137	1	-11.47136	-15.39121	3.919847	0.02811998	0.04041235
138	0	-11.48183	-15.40367	3.921837	0.02546065	0.04287263
139	1	-11.53598	-15.41245	3.87647	0.03326172	0.03960832
140	0	-11.0452	-15.10531	4.060103	0.04289412	0.01161262
141	1	-13.18938	-16.3583	3.168914	0.1166679	0.02695766
142	0	-12.91042	-16.19612	3.285702	0.1255721	0.006374646
143	1	-13.69722	-16.65531	2.958089	0.1543197	0.01038839
144	0	-12.19119	-15.76117	3.569976	0.0979559	0.005563498
145	1	-12.55076	-15.98036	3.429594	0.1084911	0.009066506
146	0	-12.38014	-15.87719	3.497051	0.09812469	0.01268722
147	1	-12.73616	-16.09166	3.355501	0.108678	0.01628886
148	0	-14.46355	-17.09025	2.626706	0.1782953	0.01955116
149	1	-13.3226	-16.43713	3.114533	0.1355501	0.01351355
150	0	-13.46326	-16.51463	3.051371	0.1089046	0.04647535
151	1	-12.20928	-15.77507	3.565796	0.08279541	0.02114205
152	0	-11.43016	-15.33698	3.906815	0.04099812	0.02883738
153	1	-12.08068	-15.71603	3.635351	0.03542453	0.06155742
154	0	-13.82224	-16.71916	2.896922	0.1414972	0.02932767
155	1	-13.4653	-16.51556	3.050261	0.1055458	0.04994503
156	0	-16.01122	-17.85572	1.844509	0.2114117	0.06465444
157	1	-13.49732	-16.5335	3.036187	0.1025027	0.05439565
158	0	-14.65365	-17.16218	2.508529	0.1010992	0.1085649
159	1	-13.85108	-16.72998	2.878902	0.08181957	0.09080725
160	0	-14.08879	-16.86048	2.771688	0.0879896	0.09535865
161	1	-13.94849	-16.78271	2.834226	0.06363208	0.1134623
162	0	-15.02474	-17.3531	2.328361	0.09837003	0.1293109
163	1	-14.96189	-17.31963	2.357737	0.07113898	0.1536044
164	0	-11.90923	-15.61104	3.701806	0.04485642	0.04547997
165	1	-11.61776	-15.43254	3.814782	0.050289	0.02874981
166	0	-12.49503	-15.94687	3.451832	0.1003408	0.01499303
167	1	-11.63047	-15.47236	3.84189	0.02765841	0.04866956
168	0	-12.48743	-15.94209	3.454656	0.1043429	0.01070849
169	1	-11.30138	-15.24598	3.944599	0.04756369	0.01849341
170	0	-13.02572	-16.26374	3.238022	0.1245808	0.01213405
171	1	-11.42561	-15.29954	3.873937	0.06152896	0.01159441
172	0	-11.34284	-15.2729	3.930053	0.04673362	0.02077809
173	1	-11.57169	-15.40735	3.835659	0.04839518	0.02855598
174	0	-10.89647	-15.0518	4.155324	0.0367704	0.008214173
175	1	-12.03526	-15.6769	3.641641	0.06053241	0.03582054
176	0	-11.1792	-15.42672	4.247525	0.02055353	0.01521097
177	1	-13.52375	-16.54908	3.025326	0.1116357	0.04634879
178	0	-10.85499	-15.10672	4.251732	0.0301835	0.0051603
179	1	-12.68123	-16.06327	3.382037	0.04819495	0.07411835
180	0	-11.6405	-15.42642	3.78592	0.07091518	0.01100981
181	1	-11.64664	-15.46767	3.821028	0.03670292	0.04171134
182	0	-12.6527	-16.04176	3.38906	0.1105049	0.01110613
183	1	-11.74496	-15.54423	3.799269	0.01256	0.0680301
184	0	-13.51014	-16.5409	3.030764	0.104803	0.05263771
185	1	-12.88995	-16.18426	3.29431	0.05593238	0.07515367
186	0	-12.02224	-15.66865	3.646409	0.06125733	0.03461876
187	1	-11.64195	-15.45036	3.808408	0.04761274	0.03206345
188	0	-11.52846	-15.45642	3.927961	0.01281462	0.05490629
189	1	-12.04613	-15.70196	3.655827	0.01573223	0.07920213
190	0	-11.74063	-15.54001	3.799388	0.01673578	0.06384244
191	1	-11.68425	-15.51718	3.83293	0.009618749	0.06760528
192	0	-11.07891	-15.26978	4.190869	0.0250854	0.01634475
193	1	-12.28551	-15.83621	3.550694	0.004783888	0.1006638
194	0	-11.57761	-15.41553	3.837917	0.04515626	0.03156909
195	1	-11.87337	-15.60914	3.735767	0.006927212	0.08001307
196	0	-12.27235	-15.81287	3.540518	0.08671203	0.01975321
197	1	-11.92387	-15.63571	3.711836	0.007320613	0.08201282
198	0	-11.23494	-15.17653	3.941591	0.06239261	0.003965305
199	1	-13.06273	-16.28425	3.221512	0.05269239	0.08567346
200	0	-11.09397	-15.41097	4.316995	0.02205927	0.006758244
201	1	-13.17358	-16.34786	3.174276	0.06292314	0.08016624
202	0	-11.23156	-15.2678	4.036235	0.03042726	0.02646621
203	1	-15.96088	-17.872	1.91112	0.2182461	0.05115893
204	0	-11.43256	-15.35534	3.922781	0.03398081	0.03425807
205	1	-12.52151	-15.96453	3.443027	0.0819007	0.03431366
206	0	-14.2706	-16.96912	2.698523	0.1643475	0.02631718
207	1	-14.60646	-17.14406	2.537604	0.1641492	0.04260742
208	0	-16.77448	-18.27424	1.49976	0.2417698	0.06877123
209	1	-13.61748	-16.60782	2.990334	0.1491514	0.01233227
210	0	-12.78322	-16.11968	3.336454	0.09629123	0.03058042
211	1	-11.6443	-15.42688	3.78258	0.07368093	0.008578049
212	0	-12.77635	-16.11572	3.339372	0.1128281	0.01375178
213	1	-12.11262	-15.71347	3.600848	0.09196833	0.008463937
214	0	-13.35092	-16.45474	3.103817	0.1412111	0.008924246
215	1	-13.26146	-16.40477	3.143316	0.1431652	0.003020162
216	0	-11.94608	-15.60922	3.66314	0.09320773	0.0009952829
217	1	-11.56583	-15.37358	3.80775	0.07872596	0.001016059
218	0	-10.75588	-14.93634	4.180464	0.04084508	0.001625538
219	1	-10.83783	-14.95293	4.1151	0.04832442	0.0006825814
220	0	-10.78646	-14.96831	4.181847	0.03904197	0.003290299
221	1	-12.16119	-15.7424	3.581206	0.09954454	0.002851827
222	0	-11.29585	-15.2788	3.982952	0.03510472	0.02711715
223	1	-11.58291	-15.38973	3.806819	0.07119705	0.008638037
224	0	-13.48542	-16.5245	3.039081	0.03086212	0.1257468
225	1	-12.28605	-15.81954	3.53349	0.09871987	0.008448175
226	0	-14.40877	-17.03059	2.621814	0.04964935	0.1486863
227	1	-12.66593	-16.04969	3.383763	0.1104255	0.01171521
228	0	-12.11204	-15.73747	3.625426	0.02430197	0.07367244
229	1	-10.9647	-15.03575	4.071055	0.0479967	0.0054148
230	0	-11.21569	-15.37868	4.16299	0.0208323	0.02338574
231	1	-10.72004	-14.95963	4.239586	0.03534479	0.001213597
232	0	-10.88672	-15.09098	4.204268	0.03213915	0.00795107
233	1	-11.01505	-15.0433	4.02825	0.05711933	0.0005726469
234	0	-10.8565	-14.98869	4.132187	0.04289192	0.004406372
235	1	-10.84571	-14.9541	4.108393	0.04942946	0.0002482608
236	0	-11.25001	-15.18508	3.935071	0.06320757	0.003802388
237	1	-11.08964	-15.085	3.995363	0.06065759	0.0003231387
238	0	-10.95311	-15.0178	4.064686	0.05129877	0.002749624
239	1	-10.81261	-14.94003	4.12742	0.04740937	0.000365637
240	0	-13.74135	-16.68373	2.942378	0.1582316	0.008047624
241	1	-13.28422	-16.42013	3.135914	0.1465712	0.0003543463
242	0	-14.00314	-16.82519	2.822051	0.160473	0.01783895
243	1	-10.71015	-14.94837	4.238223	0.03580595	0.000888724
244	0	-11.1814	-15.17607	3.994669	0.04636363	0.01468648
245	1	-10.8988	-15.22507	4.32627	0.0268026	0.001087433
246	0	-12.43488	-15.91252	3.477643	0.08123528	0.03151746
247	1	-11.12269	-15.10823	3.985539	0.05971503	0.002248069
248	0	-16.63788	-18.12221	1.484332	0.09490117	0.2171826
249	1	-10.97126	-15.13222	4.160954	0.03202076	0.01240086
250	0	-15.41012	-17.54466	2.134541	0.06177122	0.1852917
251	1	-10.98404	-15.05547	4.071427	0.04593868	0.007435636
252	0	-12.30593	-15.84658	3.540658	0.03405929	0.07239194
253	1	-11.79179	-15.5179	3.726109	0.07726278	0.01064338
254	0	-12.51283	-15.96584	3.453002	0.040792	0.07442478
255	1	-11.96044	-15.62424	3.663805	0.0749807	0.01915579
256	0	-12.66156	-16.05303	3.391475	0.0293228	0.09204673
257	1	-11.24124	-15.3133	4.072065	0.02475301	0.0285575
258	0	-14.83107	-17.35933	2.52826	0.01114744	0.1965436
259	1	-15.34015	-17.73302	2.392872	0.01085842	0.2103714
260	0	-11.92341	-15.63525	3.711836	0.005381912	0.08395152
261	1	-12.08602	-15.72351	3.637483	0.003230074	0.09353863
262	0	-11.48901	-15.6008	4.11179	0.007613569	0.04172449
263	1	-11.99967	-15.67654	3.676862	0.007721567	0.08510922
264	0	-11.20417	-15.29857	4.094393	0.02515003	0.02592766
265	1	-11.51163	-15.62535	4.113726	0.006413341	0.04273111
266	0	-12.23811	-15.80435	3.566236	0.04464469	0.05924878
267	1	-11.33393	-15.40565	4.071712	0.01804064	0.03530514
268	0	-11.17466	-15.27063	4.095971	0.02689625	0.02402367
269	1	-12.65729	-16.0452	3.387912	0.08739581	0.03433001
270	0	-12.09736	-15.70976	3.612399	0.07196906	0.02730802
271	1	-11.42028	-15.30934	3.889059	0.05239063	0.01922045
272	0	-11.2064	-15.21105	4.004646	0.04005999	0.01999246
273	1	-12.04219	-15.67598	3.633788	0.07186863	0.02526963
274	0	-13.87729	-16.748	2.87071	0.1284904	0.04495556
275	1	-15.1672	-17.43426	2.267057	0.182399	0.05141223
276	0	-13.52873	-16.54989	3.021156	0.07207978	0.08632167
277	1	-15.2032	-17.4486	2.245397	0.1672257	0.06875167
278	0	-11.97218	-15.65431	3.682126	0.0343137	0.05799073
279	1	-19.97443	-19.44636	-0.52807	0.2495244	0.2637996
280	0	-11.16183	-15.20447	4.042645	0.03566839	0.0205841
281	1	-13.65677	-16.62406	2.967297	0.1137369	0.05005038
282	0	-11.326	-15.38731	4.061314	0.01935643	0.03502914
283	1	-13.40001	-16.47795	3.077938	0.09615514	0.05656811
284	0	-11.72244	-15.52544	3.803007	0.02321817	0.05699812
285	1	-11.55454	-15.44337	3.888829	0.0229548	0.04867931
286	0	-11.45552	-15.40779	3.952271	0.02080465	0.04448527
287	1	-11.71584	-15.52961	3.813772	0.01410756	0.06503224
288	0	-11.07329	-15.11451	4.041221	0.04495119	0.01144374
289	1	-11.49976	-15.74291	4.243158	0.01308263	0.02311861
290	0	-11.70714	-15.50742	3.800278	0.03202818	0.04846106
291	1	-12.28545	-15.83438	3.548932	0.03568298	0.06994088
292	0	-12.71457	-16.07955	3.364979	0.08333803	0.04068106
293	1	-12.20497	-15.78406	3.579092	0.04702748	0.05558035
294	0	-14.40965	-17.07879	2.669144	0.1807197	0.01288291
295	1	-11.50365	-15.39349	3.889834	0.03399221	0.03754136
296	0	-10.9701	-15.23106	4.260954	0.02600492	0.008416679
297	1	-11.10247	-15.20445	4.101975	0.0308826	0.01943695
298	0	-11.05022	-15.1454	4.095177	0.03549165	0.01550762
299	1	-12.07017	-15.69043	3.620264	0.07946728	0.01902339
300	0	-12.62624	-16.02597	3.399734	0.0994876	0.02105601
301	1	-11.74712	-15.52664	3.779519	0.03462984	0.04793531
302	0	-12.95924	-16.22356	3.26432	0.08236207	0.0517229
303	1	-12.83544	-16.15354	3.318095	0.02772567	0.1009818
304	0	-12.66693	-16.05623	3.389308	0.02294732	0.09863895
305	1	-14.84678	-17.26016	2.413375	0.06169162	0.1574879
306	0	-13.20674	-16.36696	3.160222	0.08232581	0.06216897
307	1	-13.67476	-16.63343	2.958676	0.1046812	0.05996819
308	0	-16.12694	-17.93908	1.812145	0.2210605	0.058242
309	1	-16.12917	-17.89726	1.768094	0.1998325	0.08387513
310	0	-14.98623	-17.33898	2.352752	0.1634632	0.06177865
311	1	-12.51159	-15.96234	3.450745	0.05846683	0.05697566
312	0	-13.93444	-16.78223	2.847783	0.1488212	0.02691756
313	1	-13.06338	-16.2843	3.22092	0.09933298	0.03909203
314	0	-11.0192	-15.25245	4.233249	0.02534977	0.0118424
315	1	-11.70393	-15.4629	3.758971	0.07647639	0.008143555
316	0	-11.25409	-15.22534	3.971244	0.04443662	0.01895602
317	1	-10.88029	-15.10894	4.228649	0.03063424	0.007017845
318	0	-11.60372	-15.41215	3.808429	0.06074765	0.01892647
319	1	-10.89649	-15.07871	4.182216	0.03368758	0.008607869
320	0	-11.14589	-15.39538	4.249488	0.02134465	0.01422357
321	1	-11.11932	-15.35646	4.23714	0.02226565	0.01453737
322	0	-11.75761	-15.49901	3.741398	0.07261707	0.01376011
323	1	-11.3332	-15.242	3.908803	0.06069229	0.008944472
324	0	-11.5959	-15.40084	3.804935	0.06765136	0.01237218
325	1	-12.44205	-15.91639	3.474342	0.08426119	0.02882159
326	0	-11.85246	-15.55267	3.700208	0.08519964	0.005296568
327	1	-11.48122	-15.3284	3.84718	0.06737162	0.00842743
328	0	-11.06332	-15.09886	4.035536	0.04775634	0.009207084
329	1	-11.27898	-15.21184	3.932858	0.05786394	0.009367273
330	0	-12.51387	-15.95803	3.44416	0.1095198	0.006581247
331	1	-13.68369	-16.64717	2.963484	0.153456	0.01071258
332	0	-11.12926	-15.14902	4.019755	0.04484662	0.01369488
333	1	-12.12152	-15.72153	3.600011	0.0813426	0.01917335
334	0	-11.08604	-15.37263	4.286597	0.02226356	0.009593769
335	1	-10.86821	-15.01601	4.147808	0.03946055	0.006275625
336	0	-11.6276	-15.44156	3.813961	0.04780661	0.03131432
337	1	-14.08814	-16.88033	2.792193	0.1677634	0.01353432
338	0	-13.49282	-16.52863	3.035804	0.01753417	0.1394025
