Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	extinction[26]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
22	0	-48.17582	-60.96613	12.7903	0.01117978	0.02455375	0.01729308	0.02993194	0.016318	0.016318	0.016318	0.016318	0.016318	0.016318	0.016318	0.016318	0.016318	0.016318	0.016318	0.016318	0.016318	0.016318	0.016318	0.016318	0.016318	0.016318	0.016318	0.016318	0.016318	0.016318	0.016318	0.016318	0.016318	0.016318	0.06168956	0.0172931	0.0111798	0.0245538	0.05302661	0.307732
23	1	-47.04872	-60.61453	13.56581	0.008614373	0.01932946	0.01919605	0.01510442	0.0154019	0.0154019	0.0154019	0.0154019	0.0154019	0.0154019	0.0154019	0.0154019	0.0154019	0.0154019	0.0154019	0.0154019	0.0154019	0.0154019	0.0154019	0.0154019	0.0154019	0.0154019	0.0154019	0.0154019	0.0154019	0.0154019	0.0154019	0.0154019	0.0154019	0.0154019	0.03430449	0.019196	0.00861437	0.0193295	0.04713988	0.326727
24	0	-47.43604	-61.09384	13.6578	0.0128599	0.02253986	0.006426887	0.01755477	0.0146091	0.0146091	0.0146091	0.0146091	0.0146091	0.0146091	0.0146091	0.0146091	0.0146091	0.0146091	0.0146091	0.0146091	0.0146091	0.0146091	0.0146091	0.0146091	0.0146091	0.0146091	0.0146091	0.0146091	0.0146091	0.0146091	0.0146091	0.0146091	0.0146091	0.0146091	0.05454953	0.00642689	0.0128599	0.0225399	0.04182665	0.3492768
25	1	-46.04229	-60.20506	14.16277	0.007542996	0.009304881	0.02136887	0.005358486	0.00297504	0.00297504	0.00297504	0.00297504	0.00297504	0.00297504	0.00297504	0.00297504	0.00297504	0.00297504	0.00297504	0.00297504	0.00297504	0.00297504	0.00297504	0.00297504	0.00297504	0.00297504	0.00297504	0.00297504	0.00297504	0.00297504	0.00297504	0.00297504	0.00297504	0.00297504	0.03791908	0.0213689	0.007543	0.00930488	0.03821675	0.07784651
26	0	-46.69175	-60.45617	13.76442	0.01193985	0.02286208	0.0003236832	0.04260711	0.00449204	0.00449204	0.00449204	0.00449204	0.00449204	0.00449204	0.00449204	0.00449204	0.00449204	0.00449204	0.00449204	0.00449204	0.00449204	0.00449204	0.00449204	0.00449204	0.00449204	0.00449204	0.00449204	0.00449204	0.00449204	0.00449204	0.00449204	0.00449204	0.00449204	0.00449204	0.059061	0.000323683	0.0119399	0.0228621	0.03512562	0.1278849
27	1	-46.0007	-59.93254	13.93184	0.006990236	0.02339815	0.01038643	0.01032727	0.00170029	0.00170029	0.00170029	0.00170029	0.00170029	0.00170029	0.00170029	0.00170029	0.00170029	0.00170029	0.00170029	0.00170029	0.00170029	0.00170029	0.00170029	0.00170029	0.00170029	0.00170029	0.00170029	0.00170029	0.00170029	0.00170029	0.00170029	0.00170029	0.00170029	0.00170029	0.04068714	0.0103864	0.00699024	0.0233981	0.04077481	0.04169963
28	0	-46.63522	-60.02962	13.3944	0.001821696	0.02218494	0.01433647	0.03692174	0.00140747	0.00140747	0.00140747	0.00140747	0.00140747	0.00140747	0.00140747	0.00140747	0.00140747	0.00140747	0.00140747	0.00140747	0.00140747	0.00140747	0.00140747	0.00140747	0.00140747	0.00140747	0.00140747	0.00140747	0.00140747	0.00140747	0.00140747	0.00140747	0.00140747	0.00140747	0.08243383	0.0143365	0.0018217	0.0221849	0.03834311	0.03670724
29	1	-46.96958	-60.59888	13.6293	0.02580974	0.01514518	0.006726234	0.005536811	0.00770179	0.00770179	0.00770179	0.00770179	0.00770179	0.00770179	0.00770179	0.00770179	0.00770179	0.00770179	0.00770179	0.00770179	0.00770179	0.00770179	0.00770179	0.00770179	0.00770179	0.00770179	0.00770179	0.00770179	0.00770179	0.00770179	0.00770179	0.00770179	0.00770179	0.00770179	0.03427304	0.00672623	0.0258097	0.0151452	0.04768115	0.161527
30	0	-45.46402	-59.73131	14.26729	0.0118769	0.01455473	0.007789883	0.007935035	0.000336218	0.000336218	0.000336218	0.000336218	0.000336218	0.000336218	0.000336218	0.000336218	0.000336218	0.000336218	0.000336218	0.000336218	0.000336218	0.000336218	0.000336218	0.000336218	0.000336218	0.000336218	0.000336218	0.000336218	0.000336218	0.000336218	0.000336218	0.000336218	0.000336218	0.000336218	0.04887375	0.00778988	0.0118769	0.0145547	0.03422151	0.009824759
31	1	-45.95238	-60.18179	14.22941	0.01768218	0.01855263	0.003741714	0.002594508	0.00384156	0.00384156	0.00384156	0.00384156	0.00384156	0.00384156	0.00384156	0.00384156	0.00384156	0.00384156	0.00384156	0.00384156	0.00384156	0.00384156	0.00384156	0.00384156	0.00384156	0.00384156	0.00384156	0.00384156	0.00384156	0.00384156	0.00384156	0.00384156	0.00384156	0.00384156	0.02345491	0.00374171	0.0176822	0.0185526	0.03997652	0.09609545
32	0	-47.88943	-61.11097	13.22155	0.003295857	0.04084207	0.006756156	0.00418092	0.0082233	0.0082233	0.0082233	0.0082233	0.0082233	0.0082233	0.0082233	0.0082233	0.0082233	0.0082233	0.0082233	0.0082233	0.0082233	0.0082233	0.0082233	0.0082233	0.0082233	0.0082233	0.0082233	0.0082233	0.0082233	0.0082233	0.0082233	0.0082233	0.0082233	0.0082233	0.05711779	0.00675616	0.00329586	0.0408421	0.05089409	0.1615767
33	1	-47.09101	-60.71619	13.62518	0.0129917	0.0248413	0.007692633	0.004572024	0.0152774	0.0152774	0.0152774	0.0152774	0.0152774	0.0152774	0.0152774	0.0152774	0.0152774	0.0152774	0.0152774	0.0152774	0.0152774	0.0152774	0.0152774	0.0152774	0.0152774	0.0152774	0.0152774	0.0152774	0.0152774	0.0152774	0.0152774	0.0152774	0.0152774	0.0152774	0.04858923	0.00769263	0.0129917	0.0248413	0.04552563	0.335578
34	0	-48.93473	-62.84524	13.91051	0.00769597	0.01148116	0.01217641	0.01759956	0.00920551	0.00920551	0.00920551	0.00920551	0.00920551	0.00920551	0.00920551	0.00920551	0.00920551	0.00920551	0.00920551	0.00920551	0.00920551	0.00920551	0.00920551	0.00920551	0.00920551	0.00920551	0.00920551	0.00920551	0.00920551	0.00920551	0.00920551	0.00920551	0.00920551	0.00920551	0.09210311	0.0121764	0.00769597	0.0114812	0.03135354	0.2936036
35	1	-47.09582	-61.01683	13.92101	0.001330146	0.004821932	0.03588093	0.002283881	0.00470037	0.00470037	0.00470037	0.00470037	0.00470037	0.00470037	0.00470037	0.00470037	0.00470037	0.00470037	0.00470037	0.00470037	0.00470037	0.00470037	0.00470037	0.00470037	0.00470037	0.00470037	0.00470037	0.00470037	0.00470037	0.00470037	0.00470037	0.00470037	0.00470037	0.00470037	0.04226101	0.0358809	0.00133015	0.00482193	0.042033	0.1118257
36	0	-51.05674	-62.57182	11.51508	0.01733893	0.03871018	0.01678733	0.0282692	0.035688	0.035688	0.035688	0.035688	0.035688	0.035688	0.035688	0.035688	0.035688	0.035688	0.035688	0.035688	0.035688	0.035688	0.035688	0.035688	0.035688	0.035688	0.035688	0.035688	0.035688	0.035688	0.035688	0.035688	0.035688	0.035688	0.07195766	0.0167873	0.0173389	0.0387102	0.07283643	0.4899744
