Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	extinction[26]	extinction[27]	extinction[28]	extinction[29]	extinction[30]	extinction[31]	extinction[32]	extinction[33]	extinction[34]	extinction[35]	extinction[36]	extinction[37]	extinction[38]	extinction[39]	extinction[40]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
20	0	-93.84575	-106.0074	12.1616	0.03171137	0.01694437	0.0003514157	0.05734139	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.0278308	0.03339015	0.000351416	0.0317114	0.0169444	0.04900716	0.5678925
21	1	-95.49195	-104.3249	8.83296	0.06267241	0.007900165	0.00943637	0.04899681	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0643702	0.0002777897	0.00943637	0.0626724	0.00790016	0.08000894	0.804538
22	0	-96.5469	-105.8033	9.256376	0.04059501	0.003391731	0.02510305	0.06045423	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.0425893	0.07831854	0.0251031	0.040595	0.00339173	0.0690898	0.6164341
23	1	-99.56304	-106.5372	6.974177	0.0255476	0.005517094	0.05995686	0.1017833	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0621276	0.0004011505	0.0599569	0.0255476	0.00551709	0.09102155	0.682559
24	0	-94.54273	-103.8642	9.321428	0.002554074	0.009628108	0.05533783	0.05625729	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0510969	0.0949641	0.0553378	0.00255407	0.00962811	0.06752002	0.7567667
25	1	-96.57231	-105.5374	8.965074	0.06398841	0.009220919	0.0007035503	0.1094563	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0664878	0.0002118435	0.00070355	0.0639884	0.00922092	0.07391288	0.8995423
26	0	-95.60918	-103.2832	7.674026	0.01390898	0.007294745	0.05875945	0.09259256	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.0605135	0.07312793	0.0587595	0.013909	0.00729475	0.07996318	0.7567667
27	1	-94.6178	-108.5052	13.88744	0.01833505	0.01423259	0.003551279	0.07122876	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.0155118	0.002533693	0.00355128	0.018335	0.0142326	0.03611892	0.4294652
28	0	-96.22358	-103.2242	7.000639	0.01647054	0.009446188	0.05660919	0.08836726	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.0624529	0.1137489	0.0566092	0.0164705	0.00944619	0.08252592	0.7567667
29	1	-95.98771	-108.7158	12.72808	0.01308457	0.008743269	0.0217007	0.08620567	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.0125487	0.01402795	0.0217007	0.0130846	0.00874327	0.04352853	0.2882864
30	0	-94.42068	-105.8888	11.46811	0.03277082	0.01279696	0.003514147	0.083506	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.0371436	0.07567215	0.00351415	0.0327708	0.012797	0.04908192	0.7567667
31	1	-93.92678	-107.544	13.61718	0.03109148	0.001846695	0.004143112	0.06421063	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.0186491	0.02495857	0.00414311	0.0310915	0.00184669	0.03708129	0.5029242
