Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
24	0	-74.984	-89.30744	14.32344	0.01740146	0.01088664	0.009483913	0.01404294	0.0135427	0.0135427	0.0135427	0.0135427	0.0135427	0.0135427	0.0135427	0.0135427	0.0135427	0.0135427	0.0135427	0.0135427	0.0135427	0.0135427	0.0135427	0.0135427	0.0135427	0.0135427	0.0135427	0.0135427	0.0135427	0.01519659	0.00948391	0.0174015	0.0108866	0.03777202	0.3585388
25	1	-73.68652	-87.91552	14.229	0.01337527	0.005845567	0.02351552	0.0008673261	0.0196553	0.0196553	0.0196553	0.0196553	0.0196553	0.0196553	0.0196553	0.0196553	0.0196553	0.0196553	0.0196553	0.0196553	0.0196553	0.0196553	0.0196553	0.0196553	0.0196553	0.0196553	0.0196553	0.0196553	0.0196553	0.008272039	0.0235155	0.0133753	0.00584557	0.04273636	0.4599193
26	0	-77.76153	-88.14381	10.38228	0.03643389	0.0284251	0.03414436	0.05258585	0.0809452	0.0809452	0.0809452	0.0809452	0.0809452	0.0809452	0.0809452	0.0809452	0.0809452	0.0809452	0.0809452	0.0809452	0.0809452	0.0809452	0.0809452	0.0809452	0.0809452	0.0809452	0.0809452	0.0809452	0.0809452	0.006359387	0.0341444	0.0364339	0.0284251	0.09900335	0.8176005
27	1	-75.92107	-87.7609	11.83983	0.04840721	0.02018783	0.01435975	0.0006495556	0.0680776	0.0680776	0.0680776	0.0680776	0.0680776	0.0680776	0.0680776	0.0680776	0.0680776	0.0680776	0.0680776	0.0680776	0.0680776	0.0680776	0.0680776	0.0680776	0.0680776	0.0680776	0.0680776	0.0680776	0.0680776	0.008051722	0.0143597	0.0484072	0.0201878	0.08295479	0.820659
28	0	-77.25211	-90.3257	13.07358	0.005406132	0.005832065	0.03987742	0.06140934	0.0253871	0.0253871	0.0253871	0.0253871	0.0253871	0.0253871	0.0253871	0.0253871	0.0253871	0.0253871	0.0253871	0.0253871	0.0253871	0.0253871	0.0253871	0.0253871	0.0253871	0.0253871	0.0253871	0.0253871	0.0253871	0.01340353	0.0398774	0.00540613	0.00583207	0.05111562	0.4966607
29	1	-73.62732	-87.38353	13.75621	0.008879374	0.02825412	0.01368922	0.0003132402	0.0330155	0.0330155	0.0330155	0.0330155	0.0330155	0.0330155	0.0330155	0.0330155	0.0330155	0.0330155	0.0330155	0.0330155	0.0330155	0.0330155	0.0330155	0.0330155	0.0330155	0.0330155	0.0330155	0.0330155	0.0330155	0.007979772	0.0136892	0.00887937	0.0282541	0.05082271	0.6496217
30	0	-77.57699	-89.26591	11.68892	0.03214131	0.02649061	0.01984042	0.03402671	0.0406362	0.0406362	0.0406362	0.0406362	0.0406362	0.0406362	0.0406362	0.0406362	0.0406362	0.0406362	0.0406362	0.0406362	0.0406362	0.0406362	0.0406362	0.0406362	0.0406362	0.0406362	0.0406362	0.0406362	0.0406362	0.01644269	0.0198404	0.0321413	0.0264906	0.07847234	0.5178417
31	1	-76.52441	-87.82501	11.30059	0.01577793	0.0008882709	0.07593699	0.0008892552	0.0704893	0.0704893	0.0704893	0.0704893	0.0704893	0.0704893	0.0704893	0.0704893	0.0704893	0.0704893	0.0704893	0.0704893	0.0704893	0.0704893	0.0704893	0.0704893	0.0704893	0.0704893	0.0704893	0.0704893	0.0704893	0.004314748	0.075937	0.0157779	0.000888271	0.09260319	0.7611972
32	0	-79.82142	-92.03029	12.20887	0.008405306	0.02430867	0.01984042	0.1023549	0.0132804	0.0132804	0.0132804	0.0132804	0.0132804	0.0132804	0.0132804	0.0132804	0.0132804	0.0132804	0.0132804	0.0132804	0.0132804	0.0132804	0.0132804	0.0132804	0.0132804	0.0132804	0.0132804	0.0132804	0.0132804	0.05036652	0.0198404	0.00840531	0.0243087	0.05255439	0.252699
33	1	-74.10746	-87.45078	13.34332	0.02326074	0.02986079	0.004047173	0.003868403	0.0297786	0.0297786	0.0297786	0.0297786	0.0297786	0.0297786	0.0297786	0.0297786	0.0297786	0.0297786	0.0297786	0.0297786	0.0297786	0.0297786	0.0297786	0.0297786	0.0297786	0.0297786	0.0297786	0.0297786	0.0297786	0.00794664	0.00404717	0.0232607	0.0298608	0.05716871	0.5208904
34	0	-76.75012	-89.89661	13.14649	0.008348344	0.0345599	0.006468676	0.04822464	0.0136841	0.0136841	0.0136841	0.0136841	0.0136841	0.0136841	0.0136841	0.0136841	0.0136841	0.0136841	0.0136841	0.0136841	0.0136841	0.0136841	0.0136841	0.0136841	0.0136841	0.0136841	0.0136841	0.0136841	0.0136841	0.02964545	0.00646868	0.00834834	0.0345599	0.04937692	0.2771362
35	1	-75.97093	-86.79924	10.82831	0.003067681	0.04943729	0.04492383	0.01986751	0.0714823	0.0714823	0.0714823	0.0714823	0.0714823	0.0714823	0.0714823	0.0714823	0.0714823	0.0714823	0.0714823	0.0714823	0.0714823	0.0714823	0.0714823	0.0714823	0.0714823	0.0714823	0.0714823	0.0714823	0.0714823	0.003845357	0.0449238	0.00306768	0.0494373	0.0974288	0.733688
36	0	-81.41992	-92.74731	11.32739	0.004957553	0.06009196	0.005435731	0.04379142	0.0163319	0.0163319	0.0163319	0.0163319	0.0163319	0.0163319	0.0163319	0.0163319	0.0163319	0.0163319	0.0163319	0.0163319	0.0163319	0.0163319	0.0163319	0.0163319	0.0163319	0.0163319	0.0163319	0.0163319	0.0163319	0.09036475	0.00543573	0.00495755	0.060092	0.07048524	0.2317062
37	1	-74.47382	-87.48009	13.00627	0.01283289	0.04164352	0.006279404	0.01993925	0.039883	0.039883	0.039883	0.039883	0.039883	0.039883	0.039883	0.039883	0.039883	0.039883	0.039883	0.039883	0.039883	0.039883	0.039883	0.039883	0.039883	0.039883	0.039883	0.039883	0.039883	0.004232724	0.0062794	0.0128329	0.0416435	0.06075581	0.6564483
38	0	-80.78382	-89.58276	8.798939	0.01826531	0.06009196	0.03422668	0.02737563	0.0895232	0.0895232	0.0895232	0.0895232	0.0895232	0.0895232	0.0895232	0.0895232	0.0895232	0.0895232	0.0895232	0.0895232	0.0895232	0.0895232	0.0895232	0.0895232	0.0895232	0.0895232	0.0895232	0.0895232	0.0895232	0.1090808	0.0342267	0.0182653	0.060092	0.1125839	0.7951683
39	1	-74.98111	-87.77603	12.79491	0.00696515	0.04985029	0.007046896	0.02561026	0.0303062	0.0303062	0.0303062	0.0303062	0.0303062	0.0303062	0.0303062	0.0303062	0.0303062	0.0303062	0.0303062	0.0303062	0.0303062	0.0303062	0.0303062	0.0303062	0.0303062	0.0303062	0.0303062	0.0303062	0.0303062	0.001208922	0.0070469	0.00696515	0.0498503	0.06386234	0.4745546
40	0	-77.22668	-89.6946	12.46792	0.006766157	0.01754122	0.03422668	0.04439079	0.0364505	0.0364505	0.0364505	0.0364505	0.0364505	0.0364505	0.0364505	0.0364505	0.0364505	0.0364505	0.0364505	0.0364505	0.0364505	0.0364505	0.0364505	0.0364505	0.0364505	0.0364505	0.0364505	0.0364505	0.0364505	0.04683866	0.0342267	0.00676616	0.0175412	0.05853405	0.6227231
41	1	-73.67602	-87.91708	14.24106	0.001193352	0.03233094	0.007907188	0.01488895	0.00716523	0.00716523	0.00716523	0.00716523	0.00716523	0.00716523	0.00716523	0.00716523	0.00716523	0.00716523	0.00716523	0.00716523	0.00716523	0.00716523	0.00716523	0.00716523	0.00716523	0.00716523	0.00716523	0.00716523	0.00716523	0.000810313	0.00790719	0.00119335	0.0323309	0.04143148	0.1729416
42	0	-79.12827	-88.84044	9.712165	0.02134163	0.01318352	0.06985143	0.05506384	0.0829549	0.0829549	0.0829549	0.0829549	0.0829549	0.0829549	0.0829549	0.0829549	0.0829549	0.0829549	0.0829549	0.0829549	0.0829549	0.0829549	0.0829549	0.0829549	0.0829549	0.0829549	0.0829549	0.0829549	0.0829549	0.03891499	0.0698514	0.0213416	0.0131835	0.1043766	0.7947654
43	1	-74.61488	-88.97176	14.35688	0.003901351	0.02040067	0.01190055	0.03429707	0.00656094	0.00656094	0.00656094	0.00656094	0.00656094	0.00656094	0.00656094	0.00656094	0.00656094	0.00656094	0.00656094	0.00656094	0.00656094	0.00656094	0.00656094	0.00656094	0.00656094	0.00656094	0.00656094	0.00656094	0.00656094	0.0009389583	0.0119005	0.00390135	0.0204007	0.03620257	0.1812285
44	0	-76.37101	-88.38071	12.0097	0.0001305812	0.04222546	0.03343852	0.01892853	0.0369354	0.0369354	0.0369354	0.0369354	0.0369354	0.0369354	0.0369354	0.0369354	0.0369354	0.0369354	0.0369354	0.0369354	0.0369354	0.0369354	0.0369354	0.0369354	0.0369354	0.0369354	0.0369354	0.0369354	0.0369354	0.01539899	0.0334385	0.000130581	0.0422255	0.07579456	0.4873092
45	1	-74.90467	-87.7022	12.79754	0.04123426	0.01643412	0.009825903	0.003938063	0.0405641	0.0405641	0.0405641	0.0405641	0.0405641	0.0405641	0.0405641	0.0405641	0.0405641	0.0405641	0.0405641	0.0405641	0.0405641	0.0405641	0.0405641	0.0405641	0.0405641	0.0405641	0.0405641	0.0405641	0.0405641	0.00100395	0.0098259	0.0412343	0.0164341	0.06749428	0.6010001
46	0	-77.02234	-90.93443	13.91209	0.0003959198	0.01528872	0.02160078	0.04022462	0.000990748	0.000990748	0.000990748	0.000990748	0.000990748	0.000990748	0.000990748	0.000990748	0.000990748	0.000990748	0.000990748	0.000990748	0.000990748	0.000990748	0.000990748	0.000990748	0.000990748	0.000990748	0.000990748	0.000990748	0.000990748	0.03304618	0.0216008	0.00039592	0.0152887	0.03728543	0.026572
47	1	-73.64371	-86.74966	13.10595	7.866239e-05	0.03058552	0.03118431	0.00493635	0.0318478	0.0318478	0.0318478	0.0318478	0.0318478	0.0318478	0.0318478	0.0318478	0.0318478	0.0318478	0.0318478	0.0318478	0.0318478	0.0318478	0.0318478	0.0318478	0.0318478	0.0318478	0.0318478	0.0318478	0.0318478	0.00276475	0.0311843	7.86624e-05	0.0305855	0.06184849	0.5149324
48	0	-76.86033	-88.14758	11.28725	0.002938321	0.05826728	0.02172359	0.02636644	0.0666918	0.0666918	0.0666918	0.0666918	0.0666918	0.0666918	0.0666918	0.0666918	0.0666918	0.0666918	0.0666918	0.0666918	0.0666918	0.0666918	0.0666918	0.0666918	0.0666918	0.0666918	0.0666918	0.0666918	0.0666918	0.03774526	0.0217236	0.00293832	0.0582673	0.08292919	0.8042016
49	1	-74.19384	-88.90155	14.70771	0.002045903	0.01760044	0.01381636	0.006355418	0.0121998	0.0121998	0.0121998	0.0121998	0.0121998	0.0121998	0.0121998	0.0121998	0.0121998	0.0121998	0.0121998	0.0121998	0.0121998	0.0121998	0.0121998	0.0121998	0.0121998	0.0121998	0.0121998	0.0121998	0.0121998	0.01010353	0.0138164	0.0020459	0.0176004	0.03346271	0.3645775
50	0	-77.48493	-88.74856	11.26363	0.006170099	0.03946779	0.03599816	0.03025598	0.0508507	0.0508507	0.0508507	0.0508507	0.0508507	0.0508507	0.0508507	0.0508507	0.0508507	0.0508507	0.0508507	0.0508507	0.0508507	0.0508507	0.0508507	0.0508507	0.0508507	0.0508507	0.0508507	0.0508507	0.0508507	0.04391397	0.0359982	0.0061701	0.0394678	0.08163605	0.6228947
