Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
24	0	-55.254	-68.54179	13.2878	0.01923247	0.0008676238	0.03388425	0.02453179	0.000587032	0.000587032	0.000587032	0.000587032	0.000587032	0.000587032	0.000587032	0.000587032	0.000587032	0.000587032	0.000587032	0.000587032	0.000587032	0.000587032	0.000587032	0.000587032	0.000587032	0.000587032	0.01199243	0.0338842	0.0192325	0.000867624	0.05398434	0.01087412
25	1	-48.42753	-61.19908	12.77155	0.002566937	0.0008503408	0.06414589	0.002405359	0.000646228	0.000646228	0.000646228	0.000646228	0.000646228	0.000646228	0.000646228	0.000646228	0.000646228	0.000646228	0.000646228	0.000646228	0.000646228	0.000646228	0.000646228	0.000646228	0.000646228	0.000646228	0.005774553	0.0641459	0.00256694	0.000850341	0.06756317	0.009564799
26	0	-52.96789	-66.68672	13.71883	0.003272742	0.002760716	0.04227451	0.01471705	0.00232833	0.00232833	0.00232833	0.00232833	0.00232833	0.00232833	0.00232833	0.00232833	0.00232833	0.00232833	0.00232833	0.00232833	0.00232833	0.00232833	0.00232833	0.00232833	0.00232833	0.00232833	0.01213353	0.0422745	0.00327274	0.00276072	0.04830797	0.04819754
27	1	-51.71276	-64.59316	12.88039	0.006191779	0.006549247	0.05212518	0.002643307	0.00491717	0.00491717	0.00491717	0.00491717	0.00491717	0.00491717	0.00491717	0.00491717	0.00491717	0.00491717	0.00491717	0.00491717	0.00491717	0.00491717	0.00491717	0.00491717	0.00491717	0.00491717	0.01053521	0.0521252	0.00619178	0.00654925	0.06486621	0.07580478
28	0	-54.87551	-66.25398	11.37847	0.009472863	0.005202691	0.07262754	0.01641392	0.032692	0.032692	0.032692	0.032692	0.032692	0.032692	0.032692	0.032692	0.032692	0.032692	0.032692	0.032692	0.032692	0.032692	0.032692	0.032692	0.032692	0.032692	0.01482008	0.0726275	0.00947286	0.00520269	0.0873031	0.3744659
29	1	-49.01244	-62.34067	13.32822	0.005740166	0.0002325854	0.05212518	0.002123263	0.00097686	0.00097686	0.00097686	0.00097686	0.00097686	0.00097686	0.00097686	0.00097686	0.00097686	0.00097686	0.00097686	0.00097686	0.00097686	0.00097686	0.00097686	0.00097686	0.00097686	0.00097686	0.006132212	0.0521252	0.00574017	0.000232585	0.05809793	0.01681402
30	0	-52.09721	-64.46577	12.36856	0.007225109	0.002502557	0.06297819	0.0126099	0.0143428	0.0143428	0.0143428	0.0143428	0.0143428	0.0143428	0.0143428	0.0143428	0.0143428	0.0143428	0.0143428	0.0143428	0.0143428	0.0143428	0.0143428	0.0143428	0.0143428	0.0143428	0.005582102	0.0629782	0.00722511	0.00250256	0.07270585	0.1972715
31	1	-45.61423	-59.30008	13.68585	0.000542451	2.873895e-05	0.05212518	0.003509822	0.00175073	0.00175073	0.00175073	0.00175073	0.00175073	0.00175073	0.00175073	0.00175073	0.00175073	0.00175073	0.00175073	0.00175073	0.00175073	0.00175073	0.00175073	0.00175073	0.00175073	0.00175073	0.0007941194	0.0521252	0.000542451	2.87389e-05	0.05269637	0.03322305
32	0	-48.35699	-61.30441	12.94742	0.0002093937	0.002060181	0.06204384	0.007841029	0.00972402	0.00972402	0.00972402	0.00972402	0.00972402	0.00972402	0.00972402	0.00972402	0.00972402	0.00972402	0.00972402	0.00972402	0.00972402	0.00972402	0.00972402	0.00972402	0.00972402	0.00972402	0.001890386	0.0620438	0.000209394	0.00206018	0.06431342	0.1511974
33	1	-51.83965	-64.44659	12.60693	0.01462386	0.004113507	0.05212518	0.004603834	0.0152639	0.0152639	0.0152639	0.0152639	0.0152639	0.0152639	0.0152639	0.0152639	0.0152639	0.0152639	0.0152639	0.0152639	0.0152639	0.0152639	0.0152639	0.0152639	0.0152639	0.0152639	0.0006068281	0.0521252	0.0146239	0.00411351	0.07086255	0.2154008
34	0	-49.15419	-61.01634	11.86215	2.949209e-05	0.005007517	0.07818525	0.004292494	0.0202014	0.0202014	0.0202014	0.0202014	0.0202014	0.0202014	0.0202014	0.0202014	0.0202014	0.0202014	0.0202014	0.0202014	0.0202014	0.0202014	0.0202014	0.0202014	0.0202014	0.0202014	0.002607467	0.0781852	2.94921e-05	0.00500752	0.08322226	0.2427408
