Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
30	0	-35.21205	-48.85613	13.64407	0.01639836	0.02472159	0.009250813	0.009371113	0.0175199	0.0175199	0.0175199	0.0175199	0.0175199	0.0175199	0.0175199	0.0175199	0.0175199	0.0175199	0.0175199	0.0175199	0.0175199	0.0175199	0.0175199	0.0175199	0.0175199	0.0175199	0.009881335	0.00925081	0.0163984	0.0247216	0.05037077	0.3478191
31	1	-35.0374	-48.86263	13.82523	0.001155735	0.02065715	0.02320344	0.02344086	0.000557842	0.000557842	0.000557842	0.000557842	0.000557842	0.000557842	0.000557842	0.000557842	0.000557842	0.000557842	0.000557842	0.000557842	0.000557842	0.000557842	0.000557842	0.000557842	0.000557842	0.000557842	0.01426473	0.0232034	0.00115573	0.0206572	0.04501632	0.012392
32	0	-29.91778	-44.89197	14.97419	0.005047125	0.01039652	0.0165279	0.004616604	0.0029318	0.0029318	0.0029318	0.0029318	0.0029318	0.0029318	0.0029318	0.0029318	0.0029318	0.0029318	0.0029318	0.0029318	0.0029318	0.0029318	0.0029318	0.0029318	0.0029318	0.0029318	0.007285294	0.0165279	0.00504712	0.0103965	0.03197154	0.09170038
33	1	-29.53921	-44.85479	15.31558	0.0007864178	0.0008896772	0.02316919	0.02005763	0.000555845	0.000555845	0.000555845	0.000555845	0.000555845	0.000555845	0.000555845	0.000555845	0.000555845	0.000555845	0.000555845	0.000555845	0.000555845	0.000555845	0.000555845	0.000555845	0.000555845	0.000555845	0.006375762	0.0231692	0.000786418	0.000889677	0.02484528	0.02237226
34	0	-37.40563	-50.7376	13.33197	0.006490421	0.03493845	0.01362688	0.01294397	0.0420523	0.0420523	0.0420523	0.0420523	0.0420523	0.0420523	0.0420523	0.0420523	0.0420523	0.0420523	0.0420523	0.0420523	0.0420523	0.0420523	0.0420523	0.0420523	0.0420523	0.0420523	0.005521484	0.0136269	0.00649042	0.0349385	0.05505575	0.7638131
35	1	-32.20809	-46.44879	14.2407	0.01305225	0.001930261	0.02499511	0.01149642	0.00844073	0.00844073	0.00844073	0.00844073	0.00844073	0.00844073	0.00844073	0.00844073	0.00844073	0.00844073	0.00844073	0.00844073	0.00844073	0.00844073	0.00844073	0.00844073	0.00844073	0.00844073	0.01907506	0.0249951	0.0130522	0.00193026	0.03997762	0.2111364
36	0	-33.24301	-48.02998	14.78697	0.007746833	0.01615775	0.006047092	0.03790261	0.00026208	0.00026208	0.00026208	0.00026208	0.00026208	0.00026208	0.00026208	0.00026208	0.00026208	0.00026208	0.00026208	0.00026208	0.00026208	0.00026208	0.00026208	0.00026208	0.00026208	0.00026208	0.00651618	0.00604709	0.00774683	0.0161578	0.02995168	0.008750078
37	1	-32.18766	-46.52275	14.33509	0.01064194	0.002009809	0.02499511	0.01953052	0.00308413	0.00308413	0.00308413	0.00308413	0.00308413	0.00308413	0.00308413	0.00308413	0.00308413	0.00308413	0.00308413	0.00308413	0.00308413	0.00308413	0.00308413	0.00308413	0.00308413	0.00308413	0.0175205	0.0249951	0.0106419	0.00200981	0.03764686	0.08192254
38	0	-33.91451	-47.66646	13.75195	0.007746833	0.007662736	0.03238472	0.01805711	0.00481511	0.00481511	0.00481511	0.00481511	0.00481511	0.00481511	0.00481511	0.00481511	0.00481511	0.00481511	0.00481511	0.00481511	0.00481511	0.00481511	0.00481511	0.00481511	0.00481511	0.00481511	0.008003584	0.0323847	0.00774683	0.00766274	0.04779429	0.1007464
39	1	-31.16059	-46.12699	14.9664	0.00229118	0.02119005	0.008849281	0.005896255	0.00351444	0.00351444	0.00351444	0.00351444	0.00351444	0.00351444	0.00351444	0.00351444	0.00351444	0.00351444	0.00351444	0.00351444	0.00351444	0.00351444	0.00351444	0.00351444	0.00351444	0.00351444	0.004333158	0.00884928	0.00229118	0.02119	0.03233051	0.1087035
40	0	-32.55742	-47.52581	14.96839	0.01121299	0.002188932	0.01743824	0.0142317	0.013712	0.013712	0.013712	0.013712	0.013712	0.013712	0.013712	0.013712	0.013712	0.013712	0.013712	0.013712	0.013712	0.013712	0.013712	0.013712	0.013712	0.013712	0.005977514	0.0174382	0.011213	0.00218893	0.03084015	0.4446163
41	1	-30.42794	-45.75957	15.33163	0.01523946	0.0009035506	0.01154884	0.002567462	0.00642467	0.00642467	0.00642467	0.00642467	0.00642467	0.00642467	0.00642467	0.00642467	0.00642467	0.00642467	0.00642467	0.00642467	0.00642467	0.00642467	0.00642467	0.00642467	0.00642467	0.00642467	0.002819204	0.0115488	0.0152395	0.000903551	0.02769185	0.2320057
42	0	-36.17912	-50.27265	14.09353	0.006534119	0.007108933	0.03023566	0.01279884	0.0373507	0.0373507	0.0373507	0.0373507	0.0373507	0.0373507	0.0373507	0.0373507	0.0373507	0.0373507	0.0373507	0.0373507	0.0373507	0.0373507	0.0373507	0.0373507	0.0373507	0.0373507	0.005846365	0.0302357	0.00653412	0.00710893	0.04387871	0.8512266
43	1	-31.22012	-45.243	14.02288	0.007104829	0.003715654	0.03604847	0.002621182	0.0307972	0.0307972	0.0307972	0.0307972	0.0307972	0.0307972	0.0307972	0.0307972	0.0307972	0.0307972	0.0307972	0.0307972	0.0307972	0.0307972	0.0307972	0.0307972	0.0307972	0.0307972	0.00266671	0.0360485	0.00710483	0.00371565	0.04686895	0.6570911
44	0	-31.73279	-45.69654	13.96376	0.0009757706	0.01522653	0.03023566	0.003394453	0.0187522	0.0187522	0.0187522	0.0187522	0.0187522	0.0187522	0.0187522	0.0187522	0.0187522	0.0187522	0.0187522	0.0187522	0.0187522	0.0187522	0.0187522	0.0187522	0.0187522	0.0187522	0.01074917	0.0302357	0.000975771	0.0152265	0.04643796	0.4038111
45	1	-28.00614	-42.4585	14.45236	0.003975169	0.0005448868	0.03604847	0.002285697	0.0195281	0.0195281	0.0195281	0.0195281	0.0195281	0.0195281	0.0195281	0.0195281	0.0195281	0.0195281	0.0195281	0.0195281	0.0195281	0.0195281	0.0195281	0.0195281	0.0195281	0.0195281	0.003083826	0.0360485	0.00397517	0.000544887	0.04056852	0.4813614
46	0	-32.02829	-46.42195	14.39366	0.01138529	0.001651235	0.02422336	0.002786698	0.00699129	0.00699129	0.00699129	0.00699129	0.00699129	0.00699129	0.00699129	0.00699129	0.00699129	0.00699129	0.00699129	0.00699129	0.00699129	0.00699129	0.00699129	0.00699129	0.00699129	0.00699129	0.03105016	0.0242234	0.0113853	0.00165124	0.03725988	0.1876359
47	1	-27.51248	-41.98297	14.47049	3.974194e-05	0.004366092	0.03604847	0.003106459	0.0181787	0.0181787	0.0181787	0.0181787	0.0181787	0.0181787	0.0181787	0.0181787	0.0181787	0.0181787	0.0181787	0.0181787	0.0181787	0.0181787	0.0181787	0.0181787	0.0181787	0.0181787	0.001230874	0.0360485	3.97419e-05	0.00436609	0.0404543	0.4493638
