Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
23	1	-26.47114	-37.41448	10.94334	0.01553157	0.006197961	0.001906484	0.2345894	0.0001667	0.0001667	0.0001667	0.0001667	0.0001667	0.0001667	0.0001667	0.0001667	0.0001667	0.0001667	0.0001667	0.0001667	0.0001667	0.0001667	0.0001667	0.0001667	0.0001667	0.0001667	0.0001667	0.0001667	0.0001667	0.0001667	0.0001667	0.1895373	0.00190648	0.0155316	0.00619796	0.02363602	0.007052815
24	0	-23.38599	-35.59576	12.20977	0.01929831	0.0224106	0.02097362	0.05902602	0.00129171	0.00129171	0.00129171	0.00129171	0.00129171	0.00129171	0.00129171	0.00129171	0.00129171	0.00129171	0.00129171	0.00129171	0.00129171	0.00129171	0.00129171	0.00129171	0.00129171	0.00129171	0.00129171	0.00129171	0.00129171	0.00129171	0.00129171	0.04049087	0.0209736	0.0192983	0.0224106	0.06268254	0.0206072
25	1	-26.53312	-36.68173	10.14861	0.05133108	0.009727281	0.007646516	0.1125198	0.0436576	0.0436576	0.0436576	0.0436576	0.0436576	0.0436576	0.0436576	0.0436576	0.0436576	0.0436576	0.0436576	0.0436576	0.0436576	0.0436576	0.0436576	0.0436576	0.0436576	0.0436576	0.0436576	0.0436576	0.0436576	0.0436576	0.0436576	0.1625801	0.00764652	0.0513311	0.00972728	0.06870488	0.635436
26	0	-23.07965	-34.95803	11.87838	0.03566478	0.008549538	0.01102473	0.06839203	0.00647376	0.00647376	0.00647376	0.00647376	0.00647376	0.00647376	0.00647376	0.00647376	0.00647376	0.00647376	0.00647376	0.00647376	0.00647376	0.00647376	0.00647376	0.00647376	0.00647376	0.00647376	0.00647376	0.00647376	0.00647376	0.00647376	0.00647376	0.1020026	0.0110247	0.0356648	0.00854954	0.05523905	0.1171953
27	1	-24.8363	-35.3784	10.5421	0.03445104	0.01307836	0.02934923	0.07965133	0.0230089	0.0230089	0.0230089	0.0230089	0.0230089	0.0230089	0.0230089	0.0230089	0.0230089	0.0230089	0.0230089	0.0230089	0.0230089	0.0230089	0.0230089	0.0230089	0.0230089	0.0230089	0.0230089	0.0230089	0.0230089	0.0230089	0.0230089	0.1146586	0.0293492	0.034451	0.0130784	0.07687863	0.2992889
28	0	-23.92026	-35.19732	11.27706	0.006577313	0.06271321	0.001256582	0.04911606	0.0260949	0.0260949	0.0260949	0.0260949	0.0260949	0.0260949	0.0260949	0.0260949	0.0260949	0.0260949	0.0260949	0.0260949	0.0260949	0.0260949	0.0260949	0.0260949	0.0260949	0.0260949	0.0260949	0.0260949	0.0260949	0.0260949	0.0260949	0.1037987	0.00125658	0.00657731	0.0627132	0.0705471	0.3698937
29	1	-24.49593	-36.51846	12.02252	0.002654984	0.005171292	0.02934923	0.1383674	0.011141	0.011141	0.011141	0.011141	0.011141	0.011141	0.011141	0.011141	0.011141	0.011141	0.011141	0.011141	0.011141	0.011141	0.011141	0.011141	0.011141	0.011141	0.011141	0.011141	0.011141	0.011141	0.011141	0.1091958	0.0293492	0.00265498	0.00517129	0.03717551	0.2996869
30	0	-25.35801	-35.59244	10.23444	0.01517725	0.04194905	0.01164724	0.06165216	0.00618885	0.00618885	0.00618885	0.00618885	0.00618885	0.00618885	0.00618885	0.00618885	0.00618885	0.00618885	0.00618885	0.00618885	0.00618885	0.00618885	0.00618885	0.00618885	0.00618885	0.00618885	0.00618885	0.00618885	0.00618885	0.00618885	0.00618885	0.2045171	0.0116472	0.0151773	0.041949	0.06877354	0.08998876
31	1	-23.32771	-36.08083	12.75312	0.01353513	0.002970153	0.0312448	0.04787187	0.00668362	0.00668362	0.00668362	0.00668362	0.00668362	0.00668362	0.00668362	0.00668362	0.00668362	0.00668362	0.00668362	0.00668362	0.00668362	0.00668362	0.00668362	0.00668362	0.00668362	0.00668362	0.00668362	0.00668362	0.00668362	0.00668362	0.00668362	0.07301829	0.0312448	0.0135351	0.00297015	0.04775009	0.1399709
32	0	-23.1117	-34.5656	11.4539	0.008264397	0.03837857	0.00702788	0.05965304	0.00290143	0.00290143	0.00290143	0.00290143	0.00290143	0.00290143	0.00290143	0.00290143	0.00290143	0.00290143	0.00290143	0.00290143	0.00290143	0.00290143	0.00290143	0.00290143	0.00290143	0.00290143	0.00290143	0.00290143	0.00290143	0.00290143	0.00290143	0.1611406	0.00702788	0.0082644	0.0383786	0.05367085	0.05405966
