Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
24	0	-36.24907	-46.68883	10.43976	0.05218059	0.04488388	0.02137912	0.0181	0.0516237	0.0516237	0.0516237	0.0516237	0.0516237	0.0516237	0.0516237	0.0516237	0.0516237	0.0516237	0.0516237	0.0516237	0.0516237	0.0516237	0.0516237	0.0516237	0.0516237	0.0516237	0.0516237	0.0516237	0.0516237	0.0516237	0.0516237	0.0516237	0.0516237	0.06239773	0.0213791	0.0521806	0.0448839	0.1184436	0.4358507
25	1	-36.22776	-46.67045	10.44269	0.04163016	0.03098578	0.002563102	0.05626621	0.00624898	0.00624898	0.00624898	0.00624898	0.00624898	0.00624898	0.00624898	0.00624898	0.00624898	0.00624898	0.00624898	0.00624898	0.00624898	0.00624898	0.00624898	0.00624898	0.00624898	0.00624898	0.00624898	0.00624898	0.00624898	0.00624898	0.00624898	0.00624898	0.00624898	0.1561276	0.0025631	0.0416302	0.0309858	0.07517904	0.08312134
26	0	-34.23003	-46.67598	12.44595	0.00119393	0.043534	0.01427724	0.02713477	0.0112403	0.0112403	0.0112403	0.0112403	0.0112403	0.0112403	0.0112403	0.0112403	0.0112403	0.0112403	0.0112403	0.0112403	0.0112403	0.0112403	0.0112403	0.0112403	0.0112403	0.0112403	0.0112403	0.0112403	0.0112403	0.0112403	0.0112403	0.0112403	0.0112403	0.03435036	0.0142772	0.00119393	0.043534	0.05900517	0.1904971
27	1	-35.6111	-46.35719	10.74609	0.009024657	0.06369083	0.01473743	0.06300201	0.0219708	0.0219708	0.0219708	0.0219708	0.0219708	0.0219708	0.0219708	0.0219708	0.0219708	0.0219708	0.0219708	0.0219708	0.0219708	0.0219708	0.0219708	0.0219708	0.0219708	0.0219708	0.0219708	0.0219708	0.0219708	0.0219708	0.0219708	0.0219708	0.0219708	0.08155073	0.0147374	0.00902466	0.0636908	0.08745292	0.2512298
28	0	-34.57143	-46.51352	11.94209	0.02619248	0.02433728	0.02325677	0.01617197	0.0230532	0.0230532	0.0230532	0.0230532	0.0230532	0.0230532	0.0230532	0.0230532	0.0230532	0.0230532	0.0230532	0.0230532	0.0230532	0.0230532	0.0230532	0.0230532	0.0230532	0.0230532	0.0230532	0.0230532	0.0230532	0.0230532	0.0230532	0.0230532	0.0230532	0.05053671	0.0232568	0.0261925	0.0243373	0.07378653	0.3124313
29	1	-37.77464	-48.39463	10.61999	0.02243629	0.04060567	0.009999563	0.1162312	0.0236837	0.0236837	0.0236837	0.0236837	0.0236837	0.0236837	0.0236837	0.0236837	0.0236837	0.0236837	0.0236837	0.0236837	0.0236837	0.0236837	0.0236837	0.0236837	0.0236837	0.0236837	0.0236837	0.0236837	0.0236837	0.0236837	0.0236837	0.0236837	0.0236837	0.08496337	0.00999956	0.0224363	0.0406057	0.07304152	0.3242496
30	0	-34.133	-45.42396	11.29097	0.03361782	0.04210651	0.01731528	0.03559372	0.0163482	0.0163482	0.0163482	0.0163482	0.0163482	0.0163482	0.0163482	0.0163482	0.0163482	0.0163482	0.0163482	0.0163482	0.0163482	0.0163482	0.0163482	0.0163482	0.0163482	0.0163482	0.0163482	0.0163482	0.0163482	0.0163482	0.0163482	0.0163482	0.0163482	0.03740196	0.0173153	0.0336178	0.0421065	0.09303962	0.1757126
31	1	-36.93096	-47.15849	10.22752	0.01608977	0.00502612	0.04396412	0.1861921	0.00429319	0.00429319	0.00429319	0.00429319	0.00429319	0.00429319	0.00429319	0.00429319	0.00429319	0.00429319	0.00429319	0.00429319	0.00429319	0.00429319	0.00429319	0.00429319	0.00429319	0.00429319	0.00429319	0.00429319	0.00429319	0.00429319	0.00429319	0.00429319	0.00429319	0.0785747	0.0439641	0.0160898	0.00502612	0.06508001	0.06596794
32	0	-38.21542	-49.78629	11.57087	0.01781368	0.01899867	0.0118236	0.06825877	0.00692262	0.00692262	0.00692262	0.00692262	0.00692262	0.00692262	0.00692262	0.00692262	0.00692262	0.00692262	0.00692262	0.00692262	0.00692262	0.00692262	0.00692262	0.00692262	0.00692262	0.00692262	0.00692262	0.00692262	0.00692262	0.00692262	0.00692262	0.00692262	0.00692262	0.1124167	0.0118236	0.0178137	0.0189987	0.04863595	0.1423354
33	1	-36.5819	-46.48093	9.899032	0.005927026	0.01786754	0.09168125	0.03178729	0.0489762	0.0489762	0.0489762	0.0489762	0.0489762	0.0489762	0.0489762	0.0489762	0.0489762	0.0489762	0.0489762	0.0489762	0.0489762	0.0489762	0.0489762	0.0489762	0.0489762	0.0489762	0.0489762	0.0489762	0.0489762	0.0489762	0.0489762	0.0489762	0.0489762	0.1118509	0.0916813	0.00592703	0.0178675	0.1154758	0.4241249
34	0	-39.22578	-47.96017	8.734388	0.01697971	0.009797856	0.1052529	0.06278337	0.074317	0.074317	0.074317	0.074317	0.074317	0.074317	0.074317	0.074317	0.074317	0.074317	0.074317	0.074317	0.074317	0.074317	0.074317	0.074317	0.074317	0.074317	0.074317	0.074317	0.074317	0.074317	0.074317	0.074317	0.074317	0.1467386	0.105253	0.0169797	0.00979786	0.1320305	0.5628774
35	1	-32.19195	-44.08683	11.89488	0.001156711	0.006471599	0.07732588	0.02289212	0.0160888	0.0160888	0.0160888	0.0160888	0.0160888	0.0160888	0.0160888	0.0160888	0.0160888	0.0160888	0.0160888	0.0160888	0.0160888	0.0160888	0.0160888	0.0160888	0.0160888	0.0160888	0.0160888	0.0160888	0.0160888	0.0160888	0.0160888	0.0160888	0.0160888	0.01441649	0.0773259	0.00115671	0.0064716	0.08495419	0.1893825
36	0	-35.34909	-45.85799	10.5089	0.01198242	0.01515389	0.09890382	0.02847346	0.0695073	0.0695073	0.0695073	0.0695073	0.0695073	0.0695073	0.0695073	0.0695073	0.0695073	0.0695073	0.0695073	0.0695073	0.0695073	0.0695073	0.0695073	0.0695073	0.0695073	0.0695073	0.0695073	0.0695073	0.0695073	0.0695073	0.0695073	0.0695073	0.0695073	0.02189999	0.0989038	0.0119824	0.0151539	0.1260401	0.5514696
37	1	-34.86328	-45.45906	10.59578	0.004647639	0.006333308	0.09968354	0.04204363	0.0442068	0.0442068	0.0442068	0.0442068	0.0442068	0.0442068	0.0442068	0.0442068	0.0442068	0.0442068	0.0442068	0.0442068	0.0442068	0.0442068	0.0442068	0.0442068	0.0442068	0.0442068	0.0442068	0.0442068	0.0442068	0.0442068	0.0442068	0.0442068	0.0442068	0.04661991	0.0996835	0.00464764	0.00633331	0.1106645	0.3994669
38	0	-33.78434	-45.48664	11.7023	0.04903071	0.03234998	0.006925025	0.01561966	0.0237977	0.0237977	0.0237977	0.0237977	0.0237977	0.0237977	0.0237977	0.0237977	0.0237977	0.0237977	0.0237977	0.0237977	0.0237977	0.0237977	0.0237977	0.0237977	0.0237977	0.0237977	0.0237977	0.0237977	0.0237977	0.0237977	0.0237977	0.0237977	0.0237977	0.03070637	0.00692502	0.0490307	0.03235	0.08830571	0.269492
39	1	-34.38367	-45.78097	11.39731	0.0109742	0.0005378137	0.0906166	0.007229106	0.0101631	0.0101631	0.0101631	0.0101631	0.0101631	0.0101631	0.0101631	0.0101631	0.0101631	0.0101631	0.0101631	0.0101631	0.0101631	0.0101631	0.0101631	0.0101631	0.0101631	0.0101631	0.0101631	0.0101631	0.0101631	0.0101631	0.0101631	0.0101631	0.0101631	0.02736235	0.0906166	0.0109742	0.000537814	0.1021286	0.09951285
40	0	-33.05322	-44.76561	11.7124	0.02228145	0.0277717	0.04365828	0.00652324	0.00341821	0.00341821	0.00341821	0.00341821	0.00341821	0.00341821	0.00341821	0.00341821	0.00341821	0.00341821	0.00341821	0.00341821	0.00341821	0.00341821	0.00341821	0.00341821	0.00341821	0.00341821	0.00341821	0.00341821	0.00341821	0.00341821	0.00341821	0.00341821	0.00341821	0.02227684	0.0436583	0.0222814	0.0277717	0.09371143	0.03647593
41	1	-32.64608	-44.81633	12.17025	0.02339004	0.03921804	0.009561988	0.004614649	0.00806607	0.00806607	0.00806607	0.00806607	0.00806607	0.00806607	0.00806607	0.00806607	0.00806607	0.00806607	0.00806607	0.00806607	0.00806607	0.00806607	0.00806607	0.00806607	0.00806607	0.00806607	0.00806607	0.00806607	0.00806607	0.00806607	0.00806607	0.00806607	0.00806607	0.0442168	0.00956199	0.02339	0.039218	0.07217006	0.1117648
42	0	-31.25795	-43.66344	12.40549	0.004145206	0.0202262	0.04365828	0.01503744	2.76239e-05	2.76239e-05	2.76239e-05	2.76239e-05	2.76239e-05	2.76239e-05	2.76239e-05	2.76239e-05	2.76239e-05	2.76239e-05	2.76239e-05	2.76239e-05	2.76239e-05	2.76239e-05	2.76239e-05	2.76239e-05	2.76239e-05	2.76239e-05	2.76239e-05	2.76239e-05	2.76239e-05	2.76239e-05	2.76239e-05	2.76239e-05	2.76239e-05	0.02292004	0.0436583	0.00414521	0.0202262	0.06802969	0.000406057
43	1	-34.11866	-46.71255	12.59389	0.02339004	0.01686384	0.02758756	0.005682512	0.0229025	0.0229025	0.0229025	0.0229025	0.0229025	0.0229025	0.0229025	0.0229025	0.0229025	0.0229025	0.0229025	0.0229025	0.0229025	0.0229025	0.0229025	0.0229025	0.0229025	0.0229025	0.0229025	0.0229025	0.0229025	0.0229025	0.0229025	0.0229025	0.0229025	0.01401088	0.0275876	0.02339	0.0168638	0.06784144	0.337589
44	0	-33.37231	-44.96545	11.59314	0.01510192	0.02859918	0.05038247	0.02136966	0.000714435	0.000714435	0.000714435	0.000714435	0.000714435	0.000714435	0.000714435	0.000714435	0.000714435	0.000714435	0.000714435	0.000714435	0.000714435	0.000714435	0.000714435	0.000714435	0.000714435	0.000714435	0.000714435	0.000714435	0.000714435	0.000714435	0.000714435	0.000714435	0.000714435	0.01821898	0.0503825	0.0151019	0.0285992	0.09408357	0.007593616
45	1	-36.07624	-46.4476	10.37137	0.03901848	0.01686384	0.04451487	0.01705674	0.0203783	0.0203783	0.0203783	0.0203783	0.0203783	0.0203783	0.0203783	0.0203783	0.0203783	0.0203783	0.0203783	0.0203783	0.0203783	0.0203783	0.0203783	0.0203783	0.0203783	0.0203783	0.0203783	0.0203783	0.0203783	0.0203783	0.0203783	0.0203783	0.0203783	0.1254188	0.0445149	0.0390185	0.0168638	0.1003972	0.2029768
46	0	-33.32813	-44.75945	11.43132	0.01631443	0.0168894	0.05038247	0.08029915	0.00333654	0.00333654	0.00333654	0.00333654	0.00333654	0.00333654	0.00333654	0.00333654	0.00333654	0.00333654	0.00333654	0.00333654	0.00333654	0.00333654	0.00333654	0.00333654	0.00333654	0.00333654	0.00333654	0.00333654	0.00333654	0.00333654	0.00333654	0.00333654	0.00333654	0.007544399	0.0503825	0.0163144	0.0168894	0.0835863	0.03991727
